UBIGEO,DISTRICT_NAME,PROVINCE_NAME,IN_MODEL_UNIVERSE,TARGET_CROPS_OBSERVED,AGENCY_RELATION_COUNT,AGENCY_MAPPING_STATUS,PCR_GROUP_REFERENCE_STATUS,HYDRAULIC_SYSTEM_COUNT,JUNTA_COUNT,COMMISSION_OR_SUBSECTOR_COUNT,HYDRAULIC_MAPPING_STATUS,IRRIGATION_SERVICE_STATUS,RAINFED_STATUS,DOUBLE_COUNTING_RISK,DISTRICT_INDEX_STATUS,FUTURE_WATER_SPATIAL_ROLE,UNRESOLVED_CRITICAL_GAP,EVIDENCE_IDS
200202,FRIAS,AYABACA,TRUE,MAIZ AMARILLO DURO;PLATANOS Y BANANAS,1,SUPPORTED_NONEXHAUSTIVE_RELATION,AGENCY_GROUP_SOFT_REFERENCE_ONLY,0,0,0,L1_OFFICIAL_PRESENCE_NONEXHAUSTIVE,HYDRAULIC_PRESENCE_ONLY_SERVICE_UNRESOLVED,UNRESOLVED_NOT_ASSUMED_RAINFED,CONDITIONAL_MULTI_RELATION_REQUIRES_ADJUDICATION,SUBINDEX_OR_PARTITION_REQUIRED_PENDING_SERVICE_EVIDENCE,CONDITIONAL_WATER_SPATIAL_ELIGIBILITY,DISTINCT_RELATIONS_REQUIRE_SERVICE_ADJUDICATION_BEFORE_WATER_MODEL,C0B2-AG-003;C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003
200203,JILILI,AYABACA,TRUE,ARROZ;LIMON SUTIL;MAIZ AMARILLO DURO;MANGO;PLATANOS Y BANANAS,0,UNRESOLVED_AFTER_DOCUMENTED_SEARCH,UNRESOLVED_NO_DISTRICT_ALLOCATION,0,0,0,L1_OFFICIAL_PRESENCE_NONEXHAUSTIVE,HYDRAULIC_PRESENCE_ONLY_SERVICE_UNRESOLVED,UNRESOLVED_NOT_ASSUMED_RAINFED,NO_CONFIRMED_MULTI_SERVICE,POTENTIAL_SUBINDEX_ONLY,PARTIAL_COVERAGE_ONLY,OFFICIAL_PRESENCE_ONLY_SERVICE_PARTITION_AND_FRACTION_UNRESOLVED,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003
200204,LAGUNAS,AYABACA,TRUE,ARROZ;MAIZ AMARILLO DURO;PLATANOS Y BANANAS,1,SUPPORTED_NONEXHAUSTIVE_RELATION,AGENCY_GROUP_SOFT_REFERENCE_ONLY,0,0,0,L1_OFFICIAL_PRESENCE_NONEXHAUSTIVE,HYDRAULIC_PRESENCE_ONLY_SERVICE_UNRESOLVED,UNRESOLVED_NOT_ASSUMED_RAINFED,NO_CONFIRMED_MULTI_SERVICE,POTENTIAL_SUBINDEX_ONLY,PARTIAL_COVERAGE_ONLY,OFFICIAL_PRESENCE_ONLY_SERVICE_PARTITION_AND_FRACTION_UNRESOLVED,C0B2-AG-011;C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003
200205,MONTERO,AYABACA,TRUE,ARROZ;LIMON SUTIL;MAIZ AMARILLO DURO;MANGO;PLATANOS Y BANANAS,1,SUPPORTED_NONEXHAUSTIVE_RELATION,AGENCY_GROUP_SOFT_REFERENCE_ONLY,0,0,0,L1_OFFICIAL_PRESENCE_NONEXHAUSTIVE,HYDRAULIC_PRESENCE_ONLY_SERVICE_UNRESOLVED,UNRESOLVED_NOT_ASSUMED_RAINFED,NO_CONFIRMED_MULTI_SERVICE,POTENTIAL_SUBINDEX_ONLY,PARTIAL_COVERAGE_ONLY,OFFICIAL_PRESENCE_ONLY_SERVICE_PARTITION_AND_FRACTION_UNRESOLVED,C0B2-AG-003;C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003
200206,PACAIPAMPA,AYABACA,TRUE,ARROZ;LIMON SUTIL;MAIZ AMARILLO DURO;MANGO;PLATANOS Y BANANAS,1,SUPPORTED_NONEXHAUSTIVE_RELATION,AGENCY_GROUP_SOFT_REFERENCE_ONLY,0,0,0,L1_OFFICIAL_PRESENCE_NONEXHAUSTIVE,HYDRAULIC_PRESENCE_ONLY_SERVICE_UNRESOLVED,UNRESOLVED_NOT_ASSUMED_RAINFED,NO_CONFIRMED_MULTI_SERVICE,POTENTIAL_SUBINDEX_ONLY,PARTIAL_COVERAGE_ONLY,OFFICIAL_PRESENCE_ONLY_SERVICE_PARTITION_AND_FRACTION_UNRESOLVED,C0B2-AG-003;C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003
200207,PAIMAS,AYABACA,TRUE,ARROZ;LIMON SUTIL;MAIZ AMARILLO DURO;MANGO;PLATANOS Y BANANAS,1,SUPPORTED_NONEXHAUSTIVE_RELATION,AGENCY_GROUP_SOFT_REFERENCE_ONLY,0,0,0,L1_OFFICIAL_PRESENCE_NONEXHAUSTIVE,HYDRAULIC_PRESENCE_ONLY_SERVICE_UNRESOLVED,UNRESOLVED_NOT_ASSUMED_RAINFED,NO_CONFIRMED_MULTI_SERVICE,POTENTIAL_SUBINDEX_ONLY,PARTIAL_COVERAGE_ONLY,OFFICIAL_PRESENCE_ONLY_SERVICE_PARTITION_AND_FRACTION_UNRESOLVED,C0B2-AG-003;C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003
200208,SAPILLICA,AYABACA,TRUE,ARROZ;MAIZ AMARILLO DURO;PLATANOS Y BANANAS,2,SUPPORTED_NONEXHAUSTIVE_RELATION,AGENCY_GROUP_SOFT_REFERENCE_ONLY,0,0,0,L1_OFFICIAL_PRESENCE_NONEXHAUSTIVE,HYDRAULIC_PRESENCE_ONLY_SERVICE_UNRESOLVED,UNRESOLVED_NOT_ASSUMED_RAINFED,NO_CONFIRMED_MULTI_SERVICE,POTENTIAL_SUBINDEX_ONLY,PARTIAL_COVERAGE_ONLY,OFFICIAL_PRESENCE_ONLY_SERVICE_PARTITION_AND_FRACTION_UNRESOLVED,C0B2-AG-003;C0B2-AG-004;C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003
200209,SICCHEZ,AYABACA,TRUE,ARROZ;LIMON SUTIL;MAIZ AMARILLO DURO;MANGO;PLATANOS Y BANANAS,0,UNRESOLVED_AFTER_DOCUMENTED_SEARCH,UNRESOLVED_NO_DISTRICT_ALLOCATION,0,0,0,L1_OFFICIAL_PRESENCE_NONEXHAUSTIVE,HYDRAULIC_PRESENCE_ONLY_SERVICE_UNRESOLVED,UNRESOLVED_NOT_ASSUMED_RAINFED,NO_CONFIRMED_MULTI_SERVICE,POTENTIAL_SUBINDEX_ONLY,PARTIAL_COVERAGE_ONLY,OFFICIAL_PRESENCE_ONLY_SERVICE_PARTITION_AND_FRACTION_UNRESOLVED,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003
200210,SUYO,AYABACA,TRUE,ARROZ;LIMON SUTIL;MAIZ AMARILLO DURO;MANGO;PLATANOS Y BANANAS,1,SUPPORTED_NONEXHAUSTIVE_RELATION,AGENCY_GROUP_SOFT_REFERENCE_ONLY,0,0,0,L1_OFFICIAL_PRESENCE_NONEXHAUSTIVE,HYDRAULIC_PRESENCE_ONLY_SERVICE_UNRESOLVED,UNRESOLVED_NOT_ASSUMED_RAINFED,NO_CONFIRMED_MULTI_SERVICE,POTENTIAL_SUBINDEX_ONLY,PARTIAL_COVERAGE_ONLY,OFFICIAL_PRESENCE_ONLY_SERVICE_PARTITION_AND_FRACTION_UNRESOLVED,C0B2-AG-003;C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003
200301,HUANCABAMBA,HUANCABAMBA,TRUE,LIMON SUTIL;MAIZ AMARILLO DURO;PLATANOS Y BANANAS,1,PRESENCE_ONLY_NONEXHAUSTIVE,CONTEXT_ONLY_NO_JURISDICTION,0,1,1,L3_SERVICE_RELATION_PRESENT_NONEXHAUSTIVE,OFFICIAL_PARTIAL_SERVICE_EVIDENCE,UNRESOLVED_NOT_ASSUMED_RAINFED,CONDITIONAL_MULTI_RELATION_REQUIRES_ADJUDICATION,SUBINDEX_OR_PARTITION_REQUIRED_PENDING_SERVICE_EVIDENCE,CONDITIONAL_WATER_SPATIAL_ELIGIBILITY,DISTINCT_RELATIONS_REQUIRE_SERVICE_ADJUDICATION_BEFORE_WATER_MODEL,C0B2-AG-006;C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003;C0B2-HYD-007;C0B2-HYD-014
200302,CANCHAQUE,HUANCABAMBA,TRUE,ARROZ;LIMON SUTIL;MAIZ AMARILLO DURO;MANGO;PLATANOS Y BANANAS,1,SUPPORTED_NONEXHAUSTIVE_RELATION,AGENCY_GROUP_SOFT_REFERENCE_ONLY,0,0,0,L1_OFFICIAL_PRESENCE_NONEXHAUSTIVE,HYDRAULIC_PRESENCE_ONLY_SERVICE_UNRESOLVED,UNRESOLVED_NOT_ASSUMED_RAINFED,NO_CONFIRMED_MULTI_SERVICE,POTENTIAL_SUBINDEX_ONLY,PARTIAL_COVERAGE_ONLY,OFFICIAL_PRESENCE_ONLY_SERVICE_PARTITION_AND_FRACTION_UNRESOLVED,C0B2-AG-003;C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003
200303,EL CARMEN DE LA FRONTERA,HUANCABAMBA,TRUE,LIMON SUTIL;MAIZ AMARILLO DURO;PLATANOS Y BANANAS,1,PRESENCE_ONLY_NONEXHAUSTIVE,CONTEXT_ONLY_NO_JURISDICTION,0,0,0,L1_OFFICIAL_PRESENCE_NONEXHAUSTIVE,HYDRAULIC_PRESENCE_ONLY_SERVICE_UNRESOLVED,UNRESOLVED_NOT_ASSUMED_RAINFED,CONDITIONAL_MULTI_RELATION_REQUIRES_ADJUDICATION,SUBINDEX_OR_PARTITION_REQUIRED_PENDING_SERVICE_EVIDENCE,CONDITIONAL_WATER_SPATIAL_ELIGIBILITY,DISTINCT_RELATIONS_REQUIRE_SERVICE_ADJUDICATION_BEFORE_WATER_MODEL,C0B2-AG-006;C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003
200304,HUARMACA,HUANCABAMBA,TRUE,ARROZ;LIMON SUTIL;MAIZ AMARILLO DURO;MANGO;PLATANOS Y BANANAS,1,PRESENCE_ONLY_NONEXHAUSTIVE,CONTEXT_ONLY_NO_JURISDICTION,0,1,1,L2_INSTITUTIONAL_MEMBERSHIP_PRESENT_NONEXHAUSTIVE,INSTITUTIONAL_MEMBERSHIP_ONLY_SERVICE_UNRESOLVED,UNRESOLVED_NOT_ASSUMED_RAINFED,CONDITIONAL_MULTI_RELATION_REQUIRES_ADJUDICATION,SUBINDEX_OR_PARTITION_REQUIRED_PENDING_SERVICE_EVIDENCE,CONDITIONAL_WATER_SPATIAL_ELIGIBILITY,DISTINCT_RELATIONS_REQUIRE_SERVICE_ADJUDICATION_BEFORE_WATER_MODEL,C0B2-AG-007;C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003;C0B2-HYD-007
200305,LALAQUIZ,HUANCABAMBA,TRUE,ARROZ;MAIZ AMARILLO DURO;MANGO;PLATANOS Y BANANAS,0,UNRESOLVED_AFTER_DOCUMENTED_SEARCH,UNRESOLVED_NO_DISTRICT_ALLOCATION,0,0,0,L1_OFFICIAL_PRESENCE_NONEXHAUSTIVE,HYDRAULIC_PRESENCE_ONLY_SERVICE_UNRESOLVED,UNRESOLVED_NOT_ASSUMED_RAINFED,NO_CONFIRMED_MULTI_SERVICE,POTENTIAL_SUBINDEX_ONLY,PARTIAL_COVERAGE_ONLY,OFFICIAL_PRESENCE_ONLY_SERVICE_PARTITION_AND_FRACTION_UNRESOLVED,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003
200306,SAN MIGUEL DE EL FAIQUE,HUANCABAMBA,TRUE,ARROZ;LIMON SUTIL;MAIZ AMARILLO DURO;MANGO;PLATANOS Y BANANAS,0,UNRESOLVED_AFTER_DOCUMENTED_SEARCH,UNRESOLVED_NO_DISTRICT_ALLOCATION,0,1,1,L3_NAMED_SERVICE_UNIT_NONEXHAUSTIVE,OFFICIAL_PARTIAL_SERVICE_EVIDENCE,UNRESOLVED_NOT_ASSUMED_RAINFED,CONDITIONAL_MULTI_RELATION_REQUIRES_ADJUDICATION,SUBINDEX_OR_PARTITION_REQUIRED_PENDING_SERVICE_EVIDENCE,CONDITIONAL_WATER_SPATIAL_ELIGIBILITY,DISTINCT_RELATIONS_REQUIRE_SERVICE_ADJUDICATION_BEFORE_WATER_MODEL,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003;C0B2-HYD-009
200307,SONDOR,HUANCABAMBA,TRUE,LIMON SUTIL;MAIZ AMARILLO DURO;PLATANOS Y BANANAS,1,PRESENCE_ONLY_NONEXHAUSTIVE,CONTEXT_ONLY_NO_JURISDICTION,0,1,1,L2_INSTITUTIONAL_MEMBERSHIP_PRESENT_NONEXHAUSTIVE,INSTITUTIONAL_MEMBERSHIP_ONLY_SERVICE_UNRESOLVED,UNRESOLVED_NOT_ASSUMED_RAINFED,NO_CONFIRMED_MULTI_SERVICE,POTENTIAL_SUBINDEX_ONLY,INSTITUTIONAL_MEMBERSHIP_ONLY,INSTITUTIONAL_MEMBERSHIP_WITHOUT_SERVICE_AREA_PARTITION,C0B2-AG-006;C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003;C0B2-HYD-007
200308,SONDORILLO,HUANCABAMBA,TRUE,LIMON SUTIL;MAIZ AMARILLO DURO;PLATANOS Y BANANAS,1,PRESENCE_ONLY_NONEXHAUSTIVE,CONTEXT_ONLY_NO_JURISDICTION,0,1,2,L3_NAMED_SERVICE_UNIT_NONEXHAUSTIVE,OFFICIAL_PARTIAL_SERVICE_EVIDENCE,UNRESOLVED_NOT_ASSUMED_RAINFED,CONFIRMED_MULTI_SERVICE_DOUBLE_COUNTING_RISK,SUBINDEX_REQUIRED_BY_CONFIRMED_MULTI_SERVICE,SPATIALLY_ELIGIBLE_AFTER_SERVICE_PARTITION_OR_SUBINDEX,CONFIRMED_MULTI_SERVICE_REQUIRES_PARTITION_OR_DISTRICT_X_HYDRAULIC_SUBINDEX,C0B2-AG-006;C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003;C0B2-HYD-007;C0B2-HYD-012;C0B2-HYD-013;C0B2-HYD-027
200401,CHULUCANAS,MORROPON,TRUE,ARROZ;LIMON SUTIL;MAIZ AMARILLO DURO;MANGO;PLATANOS Y BANANAS,1,PRESENCE_ONLY_NONEXHAUSTIVE,CONTEXT_ONLY_NO_JURISDICTION,0,0,0,L1_OFFICIAL_PRESENCE_NONEXHAUSTIVE,HYDRAULIC_PRESENCE_ONLY_SERVICE_UNRESOLVED,UNRESOLVED_NOT_ASSUMED_RAINFED,NO_CONFIRMED_MULTI_SERVICE,POTENTIAL_SUBINDEX_ONLY,PARTIAL_COVERAGE_ONLY,OFFICIAL_PRESENCE_ONLY_SERVICE_PARTITION_AND_FRACTION_UNRESOLVED,C0B2-AG-009;C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003
200402,BUENOS AIRES,MORROPON,TRUE,ARROZ;LIMON SUTIL;MAIZ AMARILLO DURO;MANGO;PLATANOS Y BANANAS,0,UNRESOLVED_AFTER_DOCUMENTED_SEARCH,UNRESOLVED_NO_DISTRICT_ALLOCATION,0,0,0,L1_OFFICIAL_PRESENCE_NONEXHAUSTIVE,HYDRAULIC_PRESENCE_ONLY_SERVICE_UNRESOLVED,UNRESOLVED_NOT_ASSUMED_RAINFED,NO_CONFIRMED_MULTI_SERVICE,POTENTIAL_SUBINDEX_ONLY,PARTIAL_COVERAGE_ONLY,OFFICIAL_PRESENCE_ONLY_SERVICE_PARTITION_AND_FRACTION_UNRESOLVED,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003
200403,CHALACO,MORROPON,TRUE,MAIZ AMARILLO DURO;PLATANOS Y BANANAS,1,SUPPORTED_NONEXHAUSTIVE_RELATION,AGENCY_GROUP_SOFT_REFERENCE_ONLY,0,0,0,L1_OFFICIAL_PRESENCE_NONEXHAUSTIVE,HYDRAULIC_PRESENCE_ONLY_SERVICE_UNRESOLVED,UNRESOLVED_NOT_ASSUMED_RAINFED,NO_CONFIRMED_MULTI_SERVICE,POTENTIAL_SUBINDEX_ONLY,PARTIAL_COVERAGE_ONLY,OFFICIAL_PRESENCE_ONLY_SERVICE_PARTITION_AND_FRACTION_UNRESOLVED,C0B2-AG-003;C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003
200404,LA MATANZA,MORROPON,TRUE,LIMON SUTIL;MAIZ AMARILLO DURO;MANGO;PLATANOS Y BANANAS,0,UNRESOLVED_AFTER_DOCUMENTED_SEARCH,UNRESOLVED_NO_DISTRICT_ALLOCATION,0,0,0,L1_OFFICIAL_PRESENCE_NONEXHAUSTIVE,HYDRAULIC_PRESENCE_ONLY_SERVICE_UNRESOLVED,UNRESOLVED_NOT_ASSUMED_RAINFED,NO_CONFIRMED_MULTI_SERVICE,POTENTIAL_SUBINDEX_ONLY,PARTIAL_COVERAGE_ONLY,OFFICIAL_PRESENCE_ONLY_SERVICE_PARTITION_AND_FRACTION_UNRESOLVED,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003
200405,MORROPON,MORROPON,TRUE,ARROZ;LIMON SUTIL;MAIZ AMARILLO DURO;MANGO;PLATANOS Y BANANAS,1,SUPPORTED_NONEXHAUSTIVE_RELATION,AGENCY_GROUP_SOFT_REFERENCE_ONLY,0,0,0,L1_OFFICIAL_PRESENCE_NONEXHAUSTIVE,HYDRAULIC_PRESENCE_ONLY_SERVICE_UNRESOLVED,UNRESOLVED_NOT_ASSUMED_RAINFED,NO_CONFIRMED_MULTI_SERVICE,POTENTIAL_SUBINDEX_ONLY,PARTIAL_COVERAGE_ONLY,OFFICIAL_PRESENCE_ONLY_SERVICE_PARTITION_AND_FRACTION_UNRESOLVED,C0B2-AG-003;C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003
200406,SALITRAL,MORROPON,TRUE,ARROZ;LIMON SUTIL;MAIZ AMARILLO DURO;MANGO;PLATANOS Y BANANAS,0,UNRESOLVED_AFTER_DOCUMENTED_SEARCH,UNRESOLVED_NO_DISTRICT_ALLOCATION,0,0,0,L1_OFFICIAL_PRESENCE_NONEXHAUSTIVE,HYDRAULIC_PRESENCE_ONLY_SERVICE_UNRESOLVED,UNRESOLVED_NOT_ASSUMED_RAINFED,NO_CONFIRMED_MULTI_SERVICE,POTENTIAL_SUBINDEX_ONLY,PARTIAL_COVERAGE_ONLY,OFFICIAL_PRESENCE_ONLY_SERVICE_PARTITION_AND_FRACTION_UNRESOLVED,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003
200407,SAN JUAN DE BIGOTE,MORROPON,TRUE,ARROZ;LIMON SUTIL;MAIZ AMARILLO DURO;MANGO;PLATANOS Y BANANAS,1,SUPPORTED_NONEXHAUSTIVE_RELATION,AGENCY_GROUP_SOFT_REFERENCE_ONLY,0,0,0,L1_OFFICIAL_PRESENCE_NONEXHAUSTIVE,HYDRAULIC_PRESENCE_ONLY_SERVICE_UNRESOLVED,UNRESOLVED_NOT_ASSUMED_RAINFED,NO_CONFIRMED_MULTI_SERVICE,POTENTIAL_SUBINDEX_ONLY,PARTIAL_COVERAGE_ONLY,OFFICIAL_PRESENCE_ONLY_SERVICE_PARTITION_AND_FRACTION_UNRESOLVED,C0B2-AG-003;C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003
