AGENCY_NAME,DISTRICT_NAME,PROVINCE_NAME,UBIGEO,RELATION_STATUS,EXHAUSTIVENESS_STATUS,RELATIONSHIP_CLASS,EVIDENCE_IDS,PCR_GROUP_USE,DISTRICT_PCR_DISAGGREGATION_AUTHORIZED,CRITICAL_GAP,NOTES
Agencia Agraria Chulucanas,FRIAS,AYABACA,200202,SUPPORTED_JURISDICTION,PARTIAL_KNOWN,ONE_TO_MANY,C0B2-AG-003,GROUP_LEVEL_PCR_SOFT_REFERENCE,FALSE,CURRENT_EXHAUSTIVE_AGENCY_JURISDICTION_NOT_CERTIFIED,AGENCY_SEARCH_STATUS=RELATION_FOUND; strongest relation SUPPORTED_JURISDICTION; not exhaustive.
,JILILI,AYABACA,200203,UNRESOLVED,UNKNOWN,PARTIAL_UNKNOWN,C0B2-MODEL-001;C0B2-AG-001;C0B2-AG-002,UNRESOLVED,FALSE,NO_RELATION_RECOVERED_AFTER_DOCUMENTED_SEARCH,"AGENCY_SEARCH_STATUS=SEARCH_INCOMPLETE; MOF, jurisdiction articles, current activity records, and PCR architecture searched; no relation recovered; absence is not proof of no agency relation."
Agencia Agraria Ayabaca,LAGUNAS,AYABACA,200204,SUPPORTED_JURISDICTION,PARTIAL_KNOWN,ONE_TO_MANY,C0B2-AG-011,GROUP_LEVEL_PCR_SOFT_REFERENCE,FALSE,CURRENT_EXHAUSTIVE_AGENCY_JURISDICTION_NOT_CERTIFIED,AGENCY_SEARCH_STATUS=RELATION_FOUND; strongest relation SUPPORTED_JURISDICTION; not exhaustive.
Agencia Agraria Ayabaca,MONTERO,AYABACA,200205,SUPPORTED_JURISDICTION,PARTIAL_KNOWN,ONE_TO_MANY,C0B2-AG-003,GROUP_LEVEL_PCR_SOFT_REFERENCE,FALSE,CURRENT_EXHAUSTIVE_AGENCY_JURISDICTION_NOT_CERTIFIED,AGENCY_SEARCH_STATUS=RELATION_FOUND; strongest relation SUPPORTED_JURISDICTION; not exhaustive.
Agencia Agraria Chulucanas,PACAIPAMPA,AYABACA,200206,SUPPORTED_JURISDICTION,PARTIAL_KNOWN,ONE_TO_MANY,C0B2-AG-003,GROUP_LEVEL_PCR_SOFT_REFERENCE,FALSE,CURRENT_EXHAUSTIVE_AGENCY_JURISDICTION_NOT_CERTIFIED,AGENCY_SEARCH_STATUS=RELATION_FOUND; strongest relation SUPPORTED_JURISDICTION; not exhaustive.
Agencia Agraria San Lorenzo,PAIMAS,AYABACA,200207,SUPPORTED_JURISDICTION,PARTIAL_KNOWN,ONE_TO_MANY,C0B2-AG-003,GROUP_LEVEL_PCR_SOFT_REFERENCE,FALSE,CURRENT_EXHAUSTIVE_AGENCY_JURISDICTION_NOT_CERTIFIED,AGENCY_SEARCH_STATUS=RELATION_FOUND; strongest relation SUPPORTED_JURISDICTION; not exhaustive.
Agencia Agraria Ayabaca,SAPILLICA,AYABACA,200208,SUPPORTED_JURISDICTION,PARTIAL_KNOWN,MANY_TO_MANY,C0B2-AG-003,GROUP_LEVEL_PCR_SOFT_REFERENCE,FALSE,TEMPORAL_OR_MULTI_AGENCY_RELATION_REQUIRES_CURRENT_MASTER_ADJUDICATION,AGENCY_SEARCH_STATUS=RELATION_FOUND; historical Ayabaca assignment retained alongside later San Lorenzo evidence; temporal many-to-many relation is nonexhaustive and no one-to-one collapse is authorized.
Agencia Agraria San Lorenzo,SAPILLICA,AYABACA,200208,SUPPORTED_JURISDICTION,PARTIAL_KNOWN,MANY_TO_MANY,C0B2-AG-004,GROUP_LEVEL_PCR_SOFT_REFERENCE,FALSE,TEMPORAL_OR_MULTI_AGENCY_RELATION_REQUIRES_CURRENT_MASTER_ADJUDICATION,AGENCY_SEARCH_STATUS=RELATION_FOUND; later San Lorenzo assignment retained alongside historical Ayabaca evidence; temporal many-to-many relation is nonexhaustive and no one-to-one collapse is authorized.
,SICCHEZ,AYABACA,200209,UNRESOLVED,UNKNOWN,PARTIAL_UNKNOWN,C0B2-MODEL-001;C0B2-AG-001;C0B2-AG-002,UNRESOLVED,FALSE,NO_RELATION_RECOVERED_AFTER_DOCUMENTED_SEARCH,"AGENCY_SEARCH_STATUS=SEARCH_INCOMPLETE; MOF, jurisdiction articles, current activity records, and PCR architecture searched; no relation recovered; absence is not proof of no agency relation."
Agencia Agraria San Lorenzo,SUYO,AYABACA,200210,SUPPORTED_JURISDICTION,PARTIAL_KNOWN,ONE_TO_MANY,C0B2-AG-003,GROUP_LEVEL_PCR_SOFT_REFERENCE,FALSE,CURRENT_EXHAUSTIVE_AGENCY_JURISDICTION_NOT_CERTIFIED,AGENCY_SEARCH_STATUS=RELATION_FOUND; strongest relation SUPPORTED_JURISDICTION; not exhaustive.
Agencia Agraria Huancabamba,HUANCABAMBA,HUANCABAMBA,200301,PRESENCE_ONLY,NONEXHAUSTIVE_PRESENCE_ONLY,ONE_TO_MANY,C0B2-AG-006,CONTEXT_ONLY,FALSE,ACTIVITY_DOES_NOT_PROVE_JURISDICTION,AGENCY_SEARCH_STATUS=RELATION_FOUND; activity presence only; not jurisdiction.
Agencia Agraria Huancabamba,CANCHAQUE,HUANCABAMBA,200302,SUPPORTED_JURISDICTION,PARTIAL_KNOWN,ONE_TO_MANY,C0B2-AG-003,GROUP_LEVEL_PCR_SOFT_REFERENCE,FALSE,CURRENT_EXHAUSTIVE_AGENCY_JURISDICTION_NOT_CERTIFIED,AGENCY_SEARCH_STATUS=RELATION_FOUND; strongest relation SUPPORTED_JURISDICTION; not exhaustive.
Agencia Agraria Huancabamba,EL CARMEN DE LA FRONTERA,HUANCABAMBA,200303,PRESENCE_ONLY,NONEXHAUSTIVE_PRESENCE_ONLY,ONE_TO_MANY,C0B2-AG-006,CONTEXT_ONLY,FALSE,ACTIVITY_DOES_NOT_PROVE_JURISDICTION,AGENCY_SEARCH_STATUS=RELATION_FOUND; activity presence only; not jurisdiction.
Agencia Agraria Huarmaca,HUARMACA,HUANCABAMBA,200304,PRESENCE_ONLY,NONEXHAUSTIVE_PRESENCE_ONLY,ONE_TO_MANY,C0B2-AG-007,CONTEXT_ONLY,FALSE,ACTIVITY_DOES_NOT_PROVE_JURISDICTION,AGENCY_SEARCH_STATUS=RELATION_FOUND; activity presence only; not jurisdiction.
,LALAQUIZ,HUANCABAMBA,200305,UNRESOLVED,UNKNOWN,PARTIAL_UNKNOWN,C0B2-MODEL-001;C0B2-AG-001;C0B2-AG-002,UNRESOLVED,FALSE,NO_RELATION_RECOVERED_AFTER_DOCUMENTED_SEARCH,"AGENCY_SEARCH_STATUS=SEARCH_INCOMPLETE; MOF, jurisdiction articles, current activity records, and PCR architecture searched; no relation recovered; absence is not proof of no agency relation."
,SAN MIGUEL DE EL FAIQUE,HUANCABAMBA,200306,UNRESOLVED,UNKNOWN,PARTIAL_UNKNOWN,C0B2-MODEL-001;C0B2-AG-001;C0B2-AG-002,UNRESOLVED,FALSE,NO_RELATION_RECOVERED_AFTER_DOCUMENTED_SEARCH,"AGENCY_SEARCH_STATUS=SEARCH_INCOMPLETE; MOF, jurisdiction articles, current activity records, and PCR architecture searched; no relation recovered; absence is not proof of no agency relation."
Agencia Agraria Huancabamba,SONDOR,HUANCABAMBA,200307,PRESENCE_ONLY,NONEXHAUSTIVE_PRESENCE_ONLY,ONE_TO_MANY,C0B2-AG-006,CONTEXT_ONLY,FALSE,ACTIVITY_DOES_NOT_PROVE_JURISDICTION,AGENCY_SEARCH_STATUS=RELATION_FOUND; activity presence only; not jurisdiction.
Agencia Agraria Huancabamba,SONDORILLO,HUANCABAMBA,200308,PRESENCE_ONLY,NONEXHAUSTIVE_PRESENCE_ONLY,ONE_TO_MANY,C0B2-AG-006,CONTEXT_ONLY,FALSE,ACTIVITY_DOES_NOT_PROVE_JURISDICTION,AGENCY_SEARCH_STATUS=RELATION_FOUND; activity presence only; not jurisdiction.
Agencia Agraria Chulucanas,CHULUCANAS,MORROPON,200401,PRESENCE_ONLY,NONEXHAUSTIVE_PRESENCE_ONLY,ONE_TO_MANY,C0B2-AG-009,CONTEXT_ONLY,FALSE,ACTIVITY_DOES_NOT_PROVE_JURISDICTION,AGENCY_SEARCH_STATUS=RELATION_FOUND; activity presence only; not jurisdiction.
,BUENOS AIRES,MORROPON,200402,UNRESOLVED,UNKNOWN,PARTIAL_UNKNOWN,C0B2-MODEL-001;C0B2-AG-001;C0B2-AG-002,UNRESOLVED,FALSE,NO_RELATION_RECOVERED_AFTER_DOCUMENTED_SEARCH,"AGENCY_SEARCH_STATUS=SEARCH_INCOMPLETE; MOF, jurisdiction articles, current activity records, and PCR architecture searched; no relation recovered; absence is not proof of no agency relation."
Agencia Agraria Chulucanas,CHALACO,MORROPON,200403,SUPPORTED_JURISDICTION,PARTIAL_KNOWN,ONE_TO_MANY,C0B2-AG-003,GROUP_LEVEL_PCR_SOFT_REFERENCE,FALSE,CURRENT_EXHAUSTIVE_AGENCY_JURISDICTION_NOT_CERTIFIED,AGENCY_SEARCH_STATUS=RELATION_FOUND; strongest relation SUPPORTED_JURISDICTION; not exhaustive.
,LA MATANZA,MORROPON,200404,UNRESOLVED,UNKNOWN,PARTIAL_UNKNOWN,C0B2-MODEL-001;C0B2-AG-001;C0B2-AG-002,UNRESOLVED,FALSE,NO_RELATION_RECOVERED_AFTER_DOCUMENTED_SEARCH,"AGENCY_SEARCH_STATUS=SEARCH_INCOMPLETE; MOF, jurisdiction articles, current activity records, and PCR architecture searched; no relation recovered; absence is not proof of no agency relation."
Agencia Agraria Chulucanas,MORROPON,MORROPON,200405,SUPPORTED_JURISDICTION,PARTIAL_KNOWN,ONE_TO_MANY,C0B2-AG-003,GROUP_LEVEL_PCR_SOFT_REFERENCE,FALSE,CURRENT_EXHAUSTIVE_AGENCY_JURISDICTION_NOT_CERTIFIED,AGENCY_SEARCH_STATUS=RELATION_FOUND; strongest relation SUPPORTED_JURISDICTION; not exhaustive.
,SALITRAL,MORROPON,200406,UNRESOLVED,UNKNOWN,PARTIAL_UNKNOWN,C0B2-MODEL-001;C0B2-AG-001;C0B2-AG-002,UNRESOLVED,FALSE,NO_RELATION_RECOVERED_AFTER_DOCUMENTED_SEARCH,"AGENCY_SEARCH_STATUS=SEARCH_INCOMPLETE; MOF, jurisdiction articles, current activity records, and PCR architecture searched; no relation recovered; absence is not proof of no agency relation."
Agencia Agraria Chulucanas,SAN JUAN DE BIGOTE,MORROPON,200407,SUPPORTED_JURISDICTION,PARTIAL_KNOWN,ONE_TO_MANY,C0B2-AG-003,GROUP_LEVEL_PCR_SOFT_REFERENCE,FALSE,CURRENT_EXHAUSTIVE_AGENCY_JURISDICTION_NOT_CERTIFIED,AGENCY_SEARCH_STATUS=RELATION_FOUND; strongest relation SUPPORTED_JURISDICTION; not exhaustive.
,SANTA CATALINA DE MOSSA,MORROPON,200408,UNRESOLVED,UNKNOWN,PARTIAL_UNKNOWN,C0B2-MODEL-001;C0B2-AG-001;C0B2-AG-002,UNRESOLVED,FALSE,NO_RELATION_RECOVERED_AFTER_DOCUMENTED_SEARCH,"AGENCY_SEARCH_STATUS=SEARCH_INCOMPLETE; MOF, jurisdiction articles, current activity records, and PCR architecture searched; no relation recovered; absence is not proof of no agency relation."
Agencia Agraria Chulucanas,SANTO DOMINGO,MORROPON,200409,SUPPORTED_JURISDICTION,PARTIAL_KNOWN,ONE_TO_MANY,C0B2-AG-003,GROUP_LEVEL_PCR_SOFT_REFERENCE,FALSE,CURRENT_EXHAUSTIVE_AGENCY_JURISDICTION_NOT_CERTIFIED,AGENCY_SEARCH_STATUS=RELATION_FOUND; strongest relation SUPPORTED_JURISDICTION; not exhaustive.
,YAMANGO,MORROPON,200410,UNRESOLVED,UNKNOWN,PARTIAL_UNKNOWN,C0B2-MODEL-001;C0B2-AG-001;C0B2-AG-002,UNRESOLVED,FALSE,NO_RELATION_RECOVERED_AFTER_DOCUMENTED_SEARCH,"AGENCY_SEARCH_STATUS=SEARCH_INCOMPLETE; MOF, jurisdiction articles, current activity records, and PCR architecture searched; no relation recovered; absence is not proof of no agency relation."
,AMOTAPE,PAITA,200502,UNRESOLVED,UNKNOWN,PARTIAL_UNKNOWN,C0B2-MODEL-001;C0B2-AG-001;C0B2-AG-002,UNRESOLVED,FALSE,NO_RELATION_RECOVERED_AFTER_DOCUMENTED_SEARCH,"AGENCY_SEARCH_STATUS=SEARCH_INCOMPLETE; MOF, jurisdiction articles, current activity records, and PCR architecture searched; no relation recovered; absence is not proof of no agency relation."
,ARENAL,PAITA,200503,UNRESOLVED,UNKNOWN,PARTIAL_UNKNOWN,C0B2-MODEL-001;C0B2-AG-001;C0B2-AG-002,UNRESOLVED,FALSE,NO_RELATION_RECOVERED_AFTER_DOCUMENTED_SEARCH,"AGENCY_SEARCH_STATUS=SEARCH_INCOMPLETE; MOF, jurisdiction articles, current activity records, and PCR architecture searched; no relation recovered; absence is not proof of no agency relation."
Agencia Agraria Chira,COLAN,PAITA,200504,SUPPORTED_JURISDICTION,PARTIAL_KNOWN,ONE_TO_MANY,C0B2-AG-003;C0B2-AG-005,GROUP_LEVEL_PCR_SOFT_REFERENCE,FALSE,CURRENT_EXHAUSTIVE_AGENCY_JURISDICTION_NOT_CERTIFIED,AGENCY_SEARCH_STATUS=RELATION_FOUND; strongest relation SUPPORTED_JURISDICTION; not exhaustive.
,LA HUACA,PAITA,200505,UNRESOLVED,UNKNOWN,PARTIAL_UNKNOWN,C0B2-MODEL-001;C0B2-AG-001;C0B2-AG-002,UNRESOLVED,FALSE,NO_RELATION_RECOVERED_AFTER_DOCUMENTED_SEARCH,"AGENCY_SEARCH_STATUS=SEARCH_INCOMPLETE; MOF, jurisdiction articles, current activity records, and PCR architecture searched; no relation recovered; absence is not proof of no agency relation."
Agencia Agraria Chira,TAMARINDO,PAITA,200506,SUPPORTED_JURISDICTION,PARTIAL_KNOWN,ONE_TO_MANY,C0B2-AG-003,GROUP_LEVEL_PCR_SOFT_REFERENCE,FALSE,CURRENT_EXHAUSTIVE_AGENCY_JURISDICTION_NOT_CERTIFIED,AGENCY_SEARCH_STATUS=RELATION_FOUND; strongest relation SUPPORTED_JURISDICTION; not exhaustive.
Agencia Agraria Chira,VICHAYAL,PAITA,200507,SUPPORTED_JURISDICTION,PARTIAL_KNOWN,ONE_TO_MANY,C0B2-AG-004,GROUP_LEVEL_PCR_SOFT_REFERENCE,FALSE,CURRENT_EXHAUSTIVE_AGENCY_JURISDICTION_NOT_CERTIFIED,AGENCY_SEARCH_STATUS=RELATION_FOUND; strongest relation SUPPORTED_JURISDICTION; not exhaustive.
Agencia Agraria Chira,SULLANA,SULLANA,200601,PRESENCE_ONLY,NONEXHAUSTIVE_PRESENCE_ONLY,ONE_TO_MANY,C0B2-AG-012,CONTEXT_ONLY,FALSE,ACTIVITY_DOES_NOT_PROVE_JURISDICTION,AGENCY_SEARCH_STATUS=RELATION_FOUND; activity presence only; not jurisdiction.
Agencia Agraria Chira,IGNACIO ESCUDERO,SULLANA,200603,PRESENCE_ONLY,NONEXHAUSTIVE_PRESENCE_ONLY,ONE_TO_MANY,C0B2-AG-005;C0B2-AG-012,CONTEXT_ONLY,FALSE,ACTIVITY_DOES_NOT_PROVE_JURISDICTION,AGENCY_SEARCH_STATUS=RELATION_FOUND; activity presence only; not jurisdiction.
Agencia Agraria Chira,MARCAVELICA,SULLANA,200605,PRESENCE_ONLY,NONEXHAUSTIVE_PRESENCE_ONLY,ONE_TO_MANY,C0B2-AG-005;C0B2-AG-012,CONTEXT_ONLY,FALSE,ACTIVITY_DOES_NOT_PROVE_JURISDICTION,AGENCY_SEARCH_STATUS=RELATION_FOUND; activity presence only; not jurisdiction.
Agencia Agraria Chira,MIGUEL CHECA,SULLANA,200606,SUPPORTED_JURISDICTION,PARTIAL_KNOWN,ONE_TO_MANY,C0B2-AG-004,GROUP_LEVEL_PCR_SOFT_REFERENCE,FALSE,CURRENT_EXHAUSTIVE_AGENCY_JURISDICTION_NOT_CERTIFIED,AGENCY_SEARCH_STATUS=RELATION_FOUND; strongest relation SUPPORTED_JURISDICTION; not exhaustive.
,QUERECOTILLO,SULLANA,200607,UNRESOLVED,UNKNOWN,PARTIAL_UNKNOWN,C0B2-MODEL-001;C0B2-AG-001;C0B2-AG-002,UNRESOLVED,FALSE,NO_RELATION_RECOVERED_AFTER_DOCUMENTED_SEARCH,"AGENCY_SEARCH_STATUS=SEARCH_INCOMPLETE; MOF, jurisdiction articles, current activity records, and PCR architecture searched; no relation recovered; absence is not proof of no agency relation."
Agencia Agraria Chira,SALITRAL,SULLANA,200608,SUPPORTED_JURISDICTION,PARTIAL_KNOWN,ONE_TO_MANY,C0B2-AG-004,GROUP_LEVEL_PCR_SOFT_REFERENCE,FALSE,CURRENT_EXHAUSTIVE_AGENCY_JURISDICTION_NOT_CERTIFIED,AGENCY_SEARCH_STATUS=RELATION_FOUND; strongest relation SUPPORTED_JURISDICTION; not exhaustive.
,SECHURA,SECHURA,200801,UNRESOLVED,UNKNOWN,PARTIAL_UNKNOWN,C0B2-MODEL-001;C0B2-AG-001;C0B2-AG-002,UNRESOLVED,FALSE,NO_RELATION_RECOVERED_AFTER_DOCUMENTED_SEARCH,"AGENCY_SEARCH_STATUS=SEARCH_INCOMPLETE; MOF, jurisdiction articles, current activity records, and PCR architecture searched; no relation recovered; absence is not proof of no agency relation."
,BELLAVISTA DE LA UNION,SECHURA,200802,UNRESOLVED,UNKNOWN,PARTIAL_UNKNOWN,C0B2-MODEL-001;C0B2-AG-001;C0B2-AG-002,UNRESOLVED,FALSE,NO_RELATION_RECOVERED_AFTER_DOCUMENTED_SEARCH,"AGENCY_SEARCH_STATUS=SEARCH_INCOMPLETE; MOF, jurisdiction articles, current activity records, and PCR architecture searched; no relation recovered; absence is not proof of no agency relation."
,BERNAL,SECHURA,200803,UNRESOLVED,UNKNOWN,PARTIAL_UNKNOWN,C0B2-MODEL-001;C0B2-AG-001;C0B2-AG-002,UNRESOLVED,FALSE,NO_RELATION_RECOVERED_AFTER_DOCUMENTED_SEARCH,"AGENCY_SEARCH_STATUS=SEARCH_INCOMPLETE; MOF, jurisdiction articles, current activity records, and PCR architecture searched; no relation recovered; absence is not proof of no agency relation."
,CRISTO NOS VALGA,SECHURA,200804,UNRESOLVED,UNKNOWN,PARTIAL_UNKNOWN,C0B2-MODEL-001;C0B2-AG-001;C0B2-AG-002,UNRESOLVED,FALSE,NO_RELATION_RECOVERED_AFTER_DOCUMENTED_SEARCH,"AGENCY_SEARCH_STATUS=SEARCH_INCOMPLETE; MOF, jurisdiction articles, current activity records, and PCR architecture searched; no relation recovered; absence is not proof of no agency relation."
,VICE,SECHURA,200805,UNRESOLVED,UNKNOWN,PARTIAL_UNKNOWN,C0B2-MODEL-001;C0B2-AG-001;C0B2-AG-002,UNRESOLVED,FALSE,NO_RELATION_RECOVERED_AFTER_DOCUMENTED_SEARCH,"AGENCY_SEARCH_STATUS=SEARCH_INCOMPLETE; MOF, jurisdiction articles, current activity records, and PCR architecture searched; no relation recovered; absence is not proof of no agency relation."
,RINCONADA LLICUAR,SECHURA,200806,UNRESOLVED,UNKNOWN,PARTIAL_UNKNOWN,C0B2-MODEL-001;C0B2-AG-001;C0B2-AG-002,UNRESOLVED,FALSE,NO_RELATION_RECOVERED_AFTER_DOCUMENTED_SEARCH,"AGENCY_SEARCH_STATUS=SEARCH_INCOMPLETE; MOF, jurisdiction articles, current activity records, and PCR architecture searched; no relation recovered; absence is not proof of no agency relation."
