EVIDENCE_ID,EVIDENCE_DOMAIN,CROP_CODE,CROP_STD,DISTRICT_SCOPE,SOURCE_TIER,SOURCE_AUTHORITY,SOURCE_TITLE,SOURCE_DATE,SOURCE_URL,PAGE_OR_SECTION,RAW_TERM,LAND_CONCEPT,UNIT,QUANTITATIVE_VALUE,VALUE_LOWER,VALUE_UPPER,TIME_UNIT,GEOGRAPHIC_RELEVANCE,EVIDENCE_STRENGTH,MODEL_ADMISSIBILITY,EXACT_FINDING,LIMITATION,NOTES
"C0B4-E011","CROP_DURATION","14010020000","ARROZ","Northern-coast context","P2_OFFICIAL_CROP_CONTEXT","INIA","Arroz INIA 502 - Pitipo","n.d.","https://www.inia.gob.pe/wp-content/uploads/investigacion/programa/sistProductivo/variedad/arroz/INIA_502.pdf","p. 1","periodo vegetativo","LAND_OCCUPANCY","day","","150","155","DAY","Lambayeque and La Libertad northern coast","OFFICIAL_CULTIVAR_CONTEXT","SENSITIVITY_ONLY","INIA reports a 150-155 day vegetative period for a northern-coast rice cultivar.","The cultivar was not evaluated in Piura in the cited leaflet and duration is not a certified harvest-to-field-release rule.","INIA_RICE_502_SHA256=2335129ff8e43dc79c9bd52a7e2ebb7531d994a45705c308c917d41d517c4b93; HTTP_200_APPLICATION_PDF"
"C0B4-E012","LAND_OCCUPANCY","14010020000","ARROZ","Piura regional","P1_OFFICIAL","MIDAGRI","Observatorio de siembras y perspectivas de la produccion - Arroz","2024-02","https://cdn.www.gob.pe/uploads/document/file/5930905/3674534-observatorio-de-siembras-y-perspectivas-de-produccion-arroz.pdf?v=1708725598","p. 11","promedio de siembra y cosecha 2018-2022","LAND_OCCUPANCY","month","","","","MONTH","Piura","PRIMARY_OFFICIAL_STATISTICS","SENSITIVITY_ONLY","Piura sowing is concentrated in August and February-March, while corresponding harvest area is concentrated in December-January and June-July.","Regional mean timing does not link individual cohorts or certify district-specific physical occupancy.","MIDAGRI_RICE_OBSERVATORY_SHA256=21032cbca52b0ee7785e2c3f80494afccf5c745f960ba86444fcf82c0e17467e; HTTP_200_APPLICATION_PDF; NO_PRODUCTION_OR_YIELD_INPUT_USED"
"C0B4-E013","LAND_OCCUPANCY","14010020000","ARROZ","Piura valleys","P1_OFFICIAL","SENAMHI DZ1","Boletin Agroclimatico Piura-Tumbes","2025-01","https://www.senamhi.gob.pe/load/file/03503SENA-118.pdf","p. 2","calendario de siembras","TRANSIENT_MONTHLY_SOWN_FLOW","date","","","","CAMPAIGN","Medio y Bajo Piura; Chira; San Lorenzo","PRIMARY_OFFICIAL_AGROMETEOROLOGY","CONTEXT_ONLY","The bulletin records valley-specific nursery, direct-sowing, and transplant calendars for rice.","It provides no crop-general harvest or physical field-release duration.","SENAMHI_PIURA_RICE_BULLETIN_SHA256=39632b2f4c16637f793e457893bb2b359dc5cf8a044ccc5f202bd5ab6876a511; HTTP_200_APPLICATION_PDF"
"C0B4-E014","CROP_DURATION","14010070000","MAIZ AMARILLO DURO","Coastal crop context","P2_OFFICIAL_CROP_CONTEXT","INIA","Hibrido simple de maiz amarillo duro INIA 619 - Megahibrido","2010","https://repositorio.inia.gob.pe/server/api/core/bitstreams/fc6afbbc-b995-4355-9253-902d67075c50/content","p. 1","periodo vegetativo","LAND_OCCUPANCY","day","","140","170","DAY","Peruvian coast and selva","OFFICIAL_CULTIVAR_AND_SEASON_CONTEXT","SENSITIVITY_ONLY","INIA reports 140-150 days in summer and 160-170 days in winter for INIA 619.","A cultivar- and season-specific range does not identify the cultivar mix, sowing system, harvest date, or field release for every Piura district.","INIA_MAD_619_SHA256=ca20da761daedb97ec4b0ea52e1b956e3a791d5cf6729f4ab3cad0a72301a5e4; HTTP_200_APPLICATION_PDF; NO_MIDPOINT"
"C0B4-E015","CROP_DURATION","14010070000","MAIZ AMARILLO DURO","Tambogrande context","P1_OFFICIAL","GORE Piura DRAP","GORE Piura promueve la siembra de maiz INIA 619 Megahibrido en parcela demostrativa de Tambogrande","2026-08","https://www.gob.pe/institucion/regionpiura-dra/noticias/1425982-gore-piura-promueve-la-siembra-de-maiz-inia-619-megahibrido-en-parcela-demostrativa-de-tambogrande","Demonstration plot notice","INIA 619 Megahibrido","LAND_OCCUPANCY","","","","","","Tambogrande, Piura","PRIMARY_OFFICIAL_LOCAL_CONTEXT","CONTEXT_ONLY","DRAP documents current INIA 619 use in a Tambogrande demonstration plot and describes its short vegetative period.","One demonstration plot does not establish regional cultivar prevalence or a district-level occupancy parameter.","LINKS_PIURA_CONTEXT_TO_C0B4-E014; NO_NUMERIC_PARAMETER_FROM_NEWS_TEXT"
"C0B4-E016","ADJUSTMENT_BOUND","14010020000;14010070000","ARROZ;MAIZ AMARILLO DURO","55 model districts","P1_REPOSITORY_AUDIT","C0B4 independent raw-data audit","August-July complete-campaign adjustment diagnostics","2015/2016_TO_2023/2024","repository://data/raw/Formato_dataset_productos_dra__%20(2).csv","Complete 12-month district-crop campaigns","SIEMBRA","TRANSIENT_CAMPAIGN_SOWN_AREA","ha","110","","","CAMPAIGN","Piura model districts","DIRECT_REPRODUCIBLE_AUDIT","DESCRIPTIVE_ONLY","The audit computes 110 district-crop rows; Rice has 34 sensitivity-support rows and 21 unresolved rows, while MAD has 44 and 11.","Historical extrema and changes are support diagnostics, not official bounds or physical capacity.","MODEL_AUTHORIZED_ADJUSTMENT_BOUNDS_N=0; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489"
"C0B4-E017","T3_SHARE_RULE","14010020000;14010070000","ARROZ;MAIZ AMARILLO DURO","55 model districts","P1_REPOSITORY_AUDIT","C0B4 independent raw-data audit","Observed August-July SIEMBRA timing profiles","2015/2016_TO_2023/2024","repository://data/raw/Formato_dataset_productos_dra__%20(2).csv","Complete positive district-crop campaigns","monthly SIEMBRA share","T3_SHARE_RULE","share","","","","CAMPAIGN_MONTH","Piura model districts","DIRECT_REPRODUCIBLE_AUDIT","CANDIDATE_ONLY","There are 175 complete positive Rice profiles and 224 MAD profiles; 19 Rice districts and seven MAD districts lack a positive complete profile and would require pooling or external rules.","Strong district and campaign heterogeneity plus zero months prevents freezing one future rule in C0B4.","OUTCOME_INDEPENDENT_SOURCE_TIMING_ONLY; MODEL_SHARE_PARAMETERS_AUTHORIZED=0"
"C0B4-E018","BASELINE","14010020000;14010070000","ARROZ;MAIZ AMARILLO DURO","55 model districts","P1_FROZEN","C0B1 and C0B3 frozen ontology","Frozen baseline audit","2026-08-20","repository://config/decision_ontology/decision_variable_ontology_v1.json","T3 and parameter gates","future baseline year","TRANSIENT_CAMPAIGN_SOWN_AREA","year","","","","","Piura model districts","FROZEN_EXACT","NOT_AUTHORIZED","Upstream freezes no numeric future baseline year for Rice or MAD.","Historical years may be described but none may be selected as the model baseline in C0B4.","BASELINE_YEAR_STATUS=NOT_YET_FROZEN; NO_OUTCOME_TUNING"
"C0B4-E019","REALLOCABLE_AREA","","ALL CROPS","55 model districts","P1_FROZEN","C0B.0 feasibility master","C0B Decision Feasibility Report","2026-08-14","repository://outputs/decision_feasibility/C0B_DECISION_FEASIBILITY_REPORT.md","Land evidence and critical gaps","reallocable land","REALLOCABLE_TRANSIENT_AREA","ha","","","","","Piura model districts","FROZEN_EXACT_NEGATIVE_EVIDENCE","NOT_AUTHORIZED","No official evidence identifies district-level reallocable hectares.","The absence of a certified identity prevents converting AREA_HA residuals or historical maxima into capacity.","REALLOCABLE_TRANSIENT_LAND_STATUS=NOT_OBSERVED; FROZEN_UPSTREAM_EVIDENCE=C0B-C002"
"C0B4-E020","OTHER","14010020000;14010070000","ARROZ;MAIZ AMARILLO DURO","55 model districts","P1_REPOSITORY_AUDIT","C0B4A independent adversarial audit","Physical capacity versus strategic decision-domain falsification","2026-08-21","repository://outputs/decision_feasibility/C0B4_LAND_ADJUSTMENT_REPORT.md","C0B4A sections 2 and 5","decision domain","STRATEGIC_TRANSIENT_DECISION_DOMAIN","","","","","","Piura model districts","DIRECT_REPRODUCIBLE_AUDIT","NOT_MODEL_PARAMETER","Physical land-capacity modeling is not feasible; a strategic policy or empirical decision domain is potentially recoverable but is not currently model-admissible.","No alternative domain, baseline, adjustment rule, or feasible set is authorized by this distinction.","PHYSICAL_LAND_CAPACITY_MODEL_FEASIBILITY=NOT_FEASIBLE; STRATEGIC_TRANSIENT_DECISION_DOMAIN_FEASIBILITY=POTENTIALLY_RECOVERABLE_BUT_NOT_CURRENTLY_MODEL_ADMISSIBLE; LAND_HARD_CAP_NECESSARY_FOR_ANY_VALID_DECISION_MODEL=NO"
"C0B4-E021","BASELINE","14010020000;14010070000","ARROZ;MAIZ AMARILLO DURO","55 model districts","P1_REPOSITORY_AUDIT","C0B4A independent adversarial audit","Latest complete-period baseline coverage audit","2026-08-21","repository://data/raw/Formato_dataset_productos_dra__%20(2).csv","Complete August-July campaigns","SIEMBRA","TRANSIENT_CAMPAIGN_SOWN_AREA","ha","","","","CAMPAIGN","Piura model districts","DIRECT_REPRODUCIBLE_AUDIT","NOT_AUTHORIZED","The 2023/2024 campaign is complete for only 19 Rice districts and 26 MAD districts; the source ends in 2024-12 and supplies zero complete 2024/2025 district-crop campaigns.","The latest observed campaign cannot define one common district-crop baseline, and a calendar-year substitute would conflict with the frozen campaign time base.","LATEST_COMPLETE_PERIOD_BASELINE_STATUS=NOT_AVAILABLE_AS_COMMON_DISTRICT_CROP_BASELINE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489"
"C0B4-E022","BASELINE","14010020000;14010070000","ARROZ;MAIZ AMARILLO DURO","55 model districts","P1_FROZEN_AND_REPOSITORY_AUDIT","C0B1; C0B2; C0B4A","Multiyear and official-planning baseline adjudication","2026-08-21","repository://outputs/decision_feasibility/C0B2_AGENCY_UBIGEO_CROSSWALK.csv","Baseline and PCR gates","historical reference; PCR programmed hectares","TRANSIENT_CAMPAIGN_SOWN_AREA","ha","","","","CAMPAIGN","Piura model districts and agency programs","FROZEN_AND_DIRECT_REPRODUCIBLE_AUDIT","NOT_AUTHORIZED","A multiyear reference is method-defined but not source-mandated; all 56 agency-crosswalk rows forbid district PCR disaggregation, covering 55 unique model districts.","No official source mandates a statistic or window, and agency programmed hectares are not district crop baselines.","MULTIYEAR_REFERENCE_BASELINE_STATUS=METHOD_DEFINED_BUT_NOT_SOURCE_MANDATED; DISTRICT_OFFICIAL_PLANNING_BASELINE_AVAILABLE=FALSE; PCR_AGENCY_HECTARES_AS_DISTRICT_BASELINE_AUTHORIZED=FALSE"
"C0B4-E023","ADJUSTMENT_BOUND","14010020000;14010070000","ARROZ;MAIZ AMARILLO DURO","55 model districts","P1_REPOSITORY_AUDIT","C0B4A independent adversarial audit","Joint historical portfolio and fixed-total falsification","2015/2016_TO_2023/2024","repository://data/raw/Formato_dataset_productos_dra__%20(2).csv","Complete joint district campaigns","Rice and MAD campaign SIEMBRA","HISTORICAL_PORTFOLIO_SUPPORT","ha","106","","","CAMPAIGN","Piura model districts","DIRECT_REPRODUCIBLE_AUDIT","EMPIRICAL_CONTEXT_ONLY","Among 106 joint complete district-campaign portfolios, 40 adjacent changes contain 19 reciprocal movements, 18 same-direction movements, three with an unchanged crop, and zero exact fixed-total transitions; within-district level correlation is -0.041963.","Historical co-movement does not establish Rice-MAD substitutability, future feasibility, or validity of interpolated convex-hull points.","HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; HISTORICAL_CONVEX_HULL_AUTHORIZED=FALSE; FIXED_TOTAL_RICE_MAD_COMPOSITION_MODEL_STATUS=NOT_SUPPORTED"
"C0B4-E024","ADJUSTMENT_BOUND","14010020000;14010070000","ARROZ;MAIZ AMARILLO DURO","55 model districts","P1_FROZEN_AND_REPOSITORY_AUDIT","C0B1 ontology; C0B4A independent adversarial audit","Soft policy-bound ontology adjudication","2026-08-21","repository://config/decision_ontology/decision_variable_ontology_v1.json","Land and numeric-parameter gates","policy adjustment bound","STRATEGIC_TRANSIENT_DECISION_DOMAIN","","","","","","Piura model districts","FROZEN_AND_DIRECT_REPRODUCIBLE_AUDIT","NOT_MODEL_PARAMETER","C0B1 does not require a physical hard cap for every conceivable architecture and conditionally permits a later prespecified policy or empirical domain.","Ontology compatibility does not create a baseline, numerical bound, or currently admissible decision domain.","SOFT_POLICY_ADJUSTMENT_BOUND_ONTOLOGY_ALLOWED_BY_C0B1=YES_CONDITIONAL_ON_PROSPECTIVE_PRESPECIFIED_EVIDENCE_RULE; MODEL_AUTHORIZED_ADJUSTMENT_BOUNDS_N=0"
"C0B4-E025","T3_SHARE_RULE","14010020000;14010070000","ARROZ;MAIZ AMARILLO DURO","55 model districts","P1_REPOSITORY_AUDIT","C0B4A independent adversarial audit","T3 candidate-rule falsification","2015/2016_TO_2023/2024","repository://data/raw/Formato_dataset_productos_dra__%20(2).csv","Complete positive campaign profiles","monthly SIEMBRA share","T3_SHARE_RULE","share","399","","","CAMPAIGN_MONTH","Piura model districts","DIRECT_REPRODUCIBLE_AUDIT","CANDIDATE_ONLY","All 175 Rice and 224 MAD positive complete profiles contain at least one zero month; 19 Rice districts and seven MAD districts have no positive complete profile, and componentwise medians require an additional normalization rule.","No district pooling, campaign weighting, zero-campaign handling, or normalization method is prospectively mandated.","RICE_T3_SHARE_RULE_STATUS=CANDIDATE_NOT_YET_AUTHORIZED; MAD_T3_SHARE_RULE_STATUS=CANDIDATE_NOT_YET_AUTHORIZED; T3_SHARE_RECOVERY_ALONE_DOES_NOT_RESCUE_OPTIMIZATION"
"C0B4-E026","OTHER","14010020000;14010070000","ARROZ;MAIZ AMARILLO DURO","Supported districts only","P1_REPOSITORY_AUDIT","C0B4A independent adversarial audit","Finite decision-alternative scope adjudication","2026-08-21","repository://outputs/decision_feasibility/C0B4_LAND_ADJUSTMENT_REPORT.md","C0B4A sections 23-27","finite prespecified portfolio","DECISION_SCENARIO_EVALUATION","","","","","","Piura supported districts","DIRECT_REPRODUCIBLE_AUDIT","FUTURE_GATE_CANDIDATE_ONLY","Finite prespecified observed portfolios for supported districts are a potential future decision-analysis candidate requiring formal scope adjudication and reframing.","No portfolio is selected or certified as currently feasible; scenario evaluation is not continuous allocation optimization.","MINIMUM_DEFENSIBLE_DECISION_SCOPE_CANDIDATE=FINITE_PRESPECIFIED_OBSERVED_PORTFOLIOS_FOR_SUPPORTED_DISTRICTS_REQUIRES_FORMAL_SCOPE_ADJUDICATION; FINITE_PRESPECIFIED_DECISION_ALTERNATIVES_STATUS=POTENTIALLY_FEASIBLE_AS_SCENARIO_EVALUATION_REQUIRES_FORMAL_REFRAMING; NEXT_DECISION_DOMAIN_GATE_REQUIRED=TRUE"
