UBIGEO,DISTRICT_NAME,CROP_CODE,CROP_STD,N_HISTORICAL_PERIODS,BASELINE_STATUS,HIST_MIN_HA,HIST_MAX_HA,HIST_MEDIAN_HA,MAX_ABS_YOY_CHANGE_HA,MAX_REL_YOY_CHANGE,P25_ABS_YOY_CHANGE_HA,P50_ABS_YOY_CHANGE_HA,P75_ABS_YOY_CHANGE_HA,ZERO_ENTRY_OBSERVED,ZERO_EXIT_OBSERVED,OFFICIAL_BOUND_AVAILABLE,ADJUSTMENT_BOUND_STATUS,AUTHORIZED_LOWER_RULE,AUTHORIZED_UPPER_RULE,MODEL_BOUND_AUTHORIZED,LIMITATION,NOTES
200202,FRIAS,14010020000,ARROZ,0,NOT_YET_FROZEN,,,,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200202,FRIAS,14010070000,MAIZ AMARILLO DURO,0,NOT_YET_FROZEN,,,,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200203,JILILI,14010020000,ARROZ,3,NOT_YET_FROZEN,8,41,35,6,0.171429,6,6,6,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200203,JILILI,14010070000,MAIZ AMARILLO DURO,9,NOT_YET_FROZEN,72,553,272,382,2.777778,53.25,88.5,219.25,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200204,LAGUNAS,14010020000,ARROZ,5,NOT_YET_FROZEN,2,3,2,1,0.5,0,0.5,1,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200204,LAGUNAS,14010070000,MAIZ AMARILLO DURO,1,NOT_YET_FROZEN,40,40,40,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200205,MONTERO,14010020000,ARROZ,5,NOT_YET_FROZEN,33,54,37,19,0.351852,7.75,11.5,15.25,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200205,MONTERO,14010070000,MAIZ AMARILLO DURO,7,NOT_YET_FROZEN,59,433,192,168,1.694915,80.25,116.5,141.75,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200206,PACAIPAMPA,14010020000,ARROZ,1,NOT_YET_FROZEN,45,45,45,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200206,PACAIPAMPA,14010070000,MAIZ AMARILLO DURO,2,NOT_YET_FROZEN,9,500,254.5,491,0.982,491,491,491,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200207,PAIMAS,14010020000,ARROZ,3,NOT_YET_FROZEN,1845,2100,1890,,,,,,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200207,PAIMAS,14010070000,MAIZ AMARILLO DURO,9,NOT_YET_FROZEN,40,700,175,442,1.80303,42.5,104,303.25,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200208,SAPILLICA,14010020000,ARROZ,2,NOT_YET_FROZEN,28,30,29,2,0.071429,2,2,2,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200208,SAPILLICA,14010070000,MAIZ AMARILLO DURO,7,NOT_YET_FROZEN,360,670,420,170,0.285714,25,35,75,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200209,SICCHEZ,14010020000,ARROZ,5,NOT_YET_FROZEN,10,40,30,15,0.6,5,5,7.5,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200209,SICCHEZ,14010070000,MAIZ AMARILLO DURO,4,NOT_YET_FROZEN,73,139,118,50,0.684932,50,50,50,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200210,SUYO,14010020000,ARROZ,4,NOT_YET_FROZEN,590,900,725,200,0.285714,200,200,200,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200210,SUYO,14010070000,MAIZ AMARILLO DURO,6,NOT_YET_FROZEN,150,700,330,410,0.732143,57.5,110,222.5,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200301,HUANCABAMBA,14010020000,ARROZ,0,NOT_YET_FROZEN,,,,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200301,HUANCABAMBA,14010070000,MAIZ AMARILLO DURO,4,NOT_YET_FROZEN,61,121,85,29,0.315217,20,23,26,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200302,CANCHAQUE,14010020000,ARROZ,0,NOT_YET_FROZEN,,,,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200302,CANCHAQUE,14010070000,MAIZ AMARILLO DURO,5,NOT_YET_FROZEN,15,135,117,89,5.933333,10,13,51,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200303,EL CARMEN DE LA FRONTERA,14010020000,ARROZ,0,NOT_YET_FROZEN,,,,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
