HYDRAULIC_SYSTEM,ALA,JUNTA,COMMISSION_OR_SUBSECTOR,IRRIGATION_BLOCK,WATER_SOURCE,DISTRICT_NAME,PROVINCE_NAME,UBIGEO,SERVICE_RELATION_STATUS,EXHAUSTIVENESS_STATUS,RELATIONSHIP_CLASS,EVIDENCE_IDS,MODEL_SPATIAL_ROLE,SERVICE_FRACTION_AVAILABLE,SERVICE_FRACTION_VALUE,DOUBLE_COUNTING_RISK,CRITICAL_GAP,NOTES
,Medio y Bajo Piura,,,,MULTIPLE_GEOSNIRH_SOURCE_NAMES,LA UNION,PIURA,200110,CERTIFIED_EXACT_POLITICAL_LOCATION,NONEXHAUSTIVE_PRESENCE_ONLY,PARTIAL_UNKNOWN,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003,PARTIAL_COVERAGE_ONLY,FALSE,,NO_CONFIRMED_MULTI_SERVICE,SERVICE_MEMBERSHIP_AREA_PARTITION_AND_FRACTION_NOT_ESTABLISHED,"EVIDENCE_LEVEL=L1_OFFICIAL_HYDRAULIC_PRESENCE;GEOMETRY=POINT;RECORDS=33;UNIQUE_RAW_ENTITIES=27;FEATURE_ID_SHA256=fdabdd11a196a3fcbbc6b060fd51f06b2d117c3cbe9d2fb310637eb0a3dae78a;SAMPLE_IDS=9485|14396|14397|41289|59797;SAMPLE_RAW_ENTITIES=ALBERTO CHUNGA ESCOBAR|ANTONIO SILVA NAQUICHE;RAW_DISTRICT=La Unión;RAW_PROVINCE=Piura;DATE_RANGE=2020-02-07:2026-04-30; point location and license semantics do not prove service area, membership, fraction, or exhaustive coverage."
Sistema Hidraulico San Lorenzo,San Lorenzo,Junta de Usuarios Sector Hidraulico San Lorenzo,Hualtaco III,,,LAS LOMAS,PIURA,200111,SUPPORTED_JURISDICTION,PARTIAL_KNOWN,MANY_TO_MANY,C0B2-HYD-005;C0B2-HYD-006,CONDITIONAL_WATER_SPATIAL_ELIGIBILITY,FALSE,,CONDITIONAL_MULTI_RELATION_REQUIRES_ADJUDICATION,INSTITUTIONAL_MEMBERSHIP_WITHOUT_SERVICE_AREA_PARTITION,EVIDENCE_LEVEL=L2_INSTITUTIONAL_MEMBERSHIP; ANA locates the named San Lorenzo commission or maintenance unit in Las Lomas. No district service fraction is available; the relation is nonexhaustive and cannot be propagated to all agricultural land.
Sistema Hidraulico San Lorenzo,San Lorenzo,Junta de Usuarios Sector Hidraulico San Lorenzo,San Isidro I-II,,,LAS LOMAS,PIURA,200111,SUPPORTED_JURISDICTION,PARTIAL_KNOWN,MANY_TO_MANY,C0B2-HYD-005;C0B2-HYD-006,CONDITIONAL_WATER_SPATIAL_ELIGIBILITY,FALSE,,CONDITIONAL_MULTI_RELATION_REQUIRES_ADJUDICATION,INSTITUTIONAL_MEMBERSHIP_WITHOUT_SERVICE_AREA_PARTITION,EVIDENCE_LEVEL=L2_INSTITUTIONAL_MEMBERSHIP; ANA locates the named San Lorenzo commission or maintenance unit in Las Lomas. No district service fraction is available; the relation is nonexhaustive and cannot be propagated to all agricultural land.
Sistema Hidraulico San Lorenzo,San Lorenzo,Junta de Usuarios Sector Hidraulico San Lorenzo,TJ 05,,,LAS LOMAS,PIURA,200111,SUPPORTED_JURISDICTION,PARTIAL_KNOWN,MANY_TO_MANY,C0B2-HYD-005;C0B2-HYD-006,CONDITIONAL_WATER_SPATIAL_ELIGIBILITY,FALSE,,CONDITIONAL_MULTI_RELATION_REQUIRES_ADJUDICATION,INSTITUTIONAL_MEMBERSHIP_WITHOUT_SERVICE_AREA_PARTITION,EVIDENCE_LEVEL=L2_INSTITUTIONAL_MEMBERSHIP; ANA locates the named San Lorenzo commission or maintenance unit in Las Lomas. No district service fraction is available; the relation is nonexhaustive and cannot be propagated to all agricultural land.
Sistema Hidraulico San Lorenzo,San Lorenzo,Junta de Usuarios Sector Hidraulico San Lorenzo,Tejedores,,,LAS LOMAS,PIURA,200111,SUPPORTED_JURISDICTION,PARTIAL_KNOWN,MANY_TO_MANY,C0B2-HYD-005;C0B2-HYD-006,CONDITIONAL_WATER_SPATIAL_ELIGIBILITY,FALSE,,CONDITIONAL_MULTI_RELATION_REQUIRES_ADJUDICATION,INSTITUTIONAL_MEMBERSHIP_WITHOUT_SERVICE_AREA_PARTITION,EVIDENCE_LEVEL=L2_INSTITUTIONAL_MEMBERSHIP; ANA locates the named San Lorenzo commission or maintenance unit in Las Lomas. No district service fraction is available; the relation is nonexhaustive and cannot be propagated to all agricultural land.
,Alto Piura,,,,MULTIPLE_GEOSNIRH_SOURCE_NAMES,TAMBO GRANDE,PIURA,200114,CERTIFIED_EXACT_POLITICAL_LOCATION,NONEXHAUSTIVE_PRESENCE_ONLY,MANY_TO_MANY,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003,CONDITIONAL_WATER_SPATIAL_ELIGIBILITY,FALSE,,CONDITIONAL_MULTI_RELATION_REQUIRES_ADJUDICATION,SERVICE_MEMBERSHIP_AREA_PARTITION_AND_FRACTION_NOT_ESTABLISHED,"EVIDENCE_LEVEL=L1_OFFICIAL_HYDRAULIC_PRESENCE;GEOMETRY=POINT;RECORDS=24;UNIQUE_RAW_ENTITIES=18;FEATURE_ID_SHA256=7e9b7f212dde2799b0c504e829fc4743da3068371c3f80da41d540c5ec6498d2;SAMPLE_IDS=36584|36647|36649|36714|36749;SAMPLE_RAW_ENTITIES=MAZA ABRAMONTE, JAVIER ALEJANDRO|NUÑEZ RAMIREZ, ELIZARDO;RAW_DISTRICT=Tambo Grande;RAW_PROVINCE=Piura;DATE_RANGE=2024-11-19:2024-12-02; point location and license semantics do not prove service area, membership, fraction, or exhaustive coverage."
,Medio y Bajo Piura,,,,MULTIPLE_GEOSNIRH_SOURCE_NAMES,TAMBO GRANDE,PIURA,200114,CERTIFIED_EXACT_POLITICAL_LOCATION,NONEXHAUSTIVE_PRESENCE_ONLY,MANY_TO_MANY,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003,CONDITIONAL_WATER_SPATIAL_ELIGIBILITY,FALSE,,CONDITIONAL_MULTI_RELATION_REQUIRES_ADJUDICATION,SERVICE_MEMBERSHIP_AREA_PARTITION_AND_FRACTION_NOT_ESTABLISHED,"EVIDENCE_LEVEL=L1_OFFICIAL_HYDRAULIC_PRESENCE;GEOMETRY=POINT;RECORDS=2;UNIQUE_RAW_ENTITIES=2;FEATURE_ID_SHA256=f36d3d1e19251ff727cd9d261845b2284ef3ce4351aa7af9c79a859ad7d68ea7;SAMPLE_IDS=11491|11493;SAMPLE_RAW_ENTITIES=EDUARDO RIVAS SUAREZ|RAUL JUAREZ GARCIA;RAW_DISTRICT=Tambo Grande;RAW_PROVINCE=Piura;DATE_RANGE=2020-10-02:2020-10-02; point location and license semantics do not prove service area, membership, fraction, or exhaustive coverage."
,San Lorenzo,,,,Río Quiróz y Chipillico,TAMBO GRANDE,PIURA,200114,CERTIFIED_EXACT_POLITICAL_LOCATION,NONEXHAUSTIVE_PRESENCE_ONLY,MANY_TO_MANY,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003,CONDITIONAL_WATER_SPATIAL_ELIGIBILITY,FALSE,,CONDITIONAL_MULTI_RELATION_REQUIRES_ADJUDICATION,SERVICE_MEMBERSHIP_AREA_PARTITION_AND_FRACTION_NOT_ESTABLISHED,"EVIDENCE_LEVEL=L1_OFFICIAL_HYDRAULIC_PRESENCE;GEOMETRY=POINT;RECORDS=1;UNIQUE_RAW_ENTITIES=1;FEATURE_ID_SHA256=8dc816e0a16f563c387053d2b553d69d6d428e824cdb868a8d90d496a06adb2f;SAMPLE_IDS=63999;SAMPLE_RAW_ENTITIES=CRUZ SILVA JIMENEZ;RAW_DISTRICT=Tambo Grande;RAW_PROVINCE=Piura;DATE_RANGE=2026-05-26:2026-05-26; point location and license semantics do not prove service area, membership, fraction, or exhaustive coverage."
,San Lorenzo,,,,MULTIPLE_GEOSNIRH_SOURCE_NAMES,AYABACA,AYABACA,200201,CERTIFIED_EXACT_POLITICAL_LOCATION,NONEXHAUSTIVE_PRESENCE_ONLY,PARTIAL_UNKNOWN,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003,PARTIAL_COVERAGE_ONLY,FALSE,,NO_CONFIRMED_MULTI_SERVICE,SERVICE_MEMBERSHIP_AREA_PARTITION_AND_FRACTION_NOT_ESTABLISHED,"EVIDENCE_LEVEL=L1_OFFICIAL_HYDRAULIC_PRESENCE;GEOMETRY=POINT;RECORDS=167;UNIQUE_RAW_ENTITIES=164;FEATURE_ID_SHA256=af797fbfa9d7553fdf02c2d97e778335cddc9284079a7701c935d89c9b5f4ad0;SAMPLE_IDS=6956|6957|6965|40445|40446;SAMPLE_RAW_ENTITIES=COMITE DE  USUARIOS DE AGUA DEL SISTEMA DE RIEGO EL VERBENAL|COMITE DE USUARIOS DE AGUA  DEL CANAL LA SHITA;RAW_DISTRICT=Ayabaca;RAW_PROVINCE=Ayabaca;DATE_RANGE=2019-07-23:2025-08-31; point location and license semantics do not prove service area, membership, fraction, or exhaustive coverage."
,Alto Piura,,,,MULTIPLE_GEOSNIRH_SOURCE_NAMES,FRIAS,AYABACA,200202,CERTIFIED_EXACT_POLITICAL_LOCATION,NONEXHAUSTIVE_PRESENCE_ONLY,MANY_TO_MANY,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003,CONDITIONAL_WATER_SPATIAL_ELIGIBILITY,FALSE,,CONDITIONAL_MULTI_RELATION_REQUIRES_ADJUDICATION,SERVICE_MEMBERSHIP_AREA_PARTITION_AND_FRACTION_NOT_ESTABLISHED,"EVIDENCE_LEVEL=L1_OFFICIAL_HYDRAULIC_PRESENCE;GEOMETRY=POINT;RECORDS=2;UNIQUE_RAW_ENTITIES=2;FEATURE_ID_SHA256=f8789fc9f95e413d62e6439d448f4fe8de9dc8f17b1bc3b5ed1dc0028ebbe570;SAMPLE_IDS=7401|40571;SAMPLE_RAW_ENTITIES=COMITE DE USUARIOS DE AGUA DEL CANAL EL HIGUERON -PALTO MARGARITA|COMITÉ DE USUARIOS DEL CANAL DE RIEGO EL GUANÁBANO;RAW_DISTRICT=Frias;RAW_PROVINCE=Ayabaca;DATE_RANGE=2019-08-26:2025-08-26; point location and license semantics do not prove service area, membership, fraction, or exhaustive coverage."
,San Lorenzo,,,,MULTIPLE_GEOSNIRH_SOURCE_NAMES,FRIAS,AYABACA,200202,CERTIFIED_EXACT_POLITICAL_LOCATION,NONEXHAUSTIVE_PRESENCE_ONLY,MANY_TO_MANY,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003,CONDITIONAL_WATER_SPATIAL_ELIGIBILITY,FALSE,,CONDITIONAL_MULTI_RELATION_REQUIRES_ADJUDICATION,SERVICE_MEMBERSHIP_AREA_PARTITION_AND_FRACTION_NOT_ESTABLISHED,"EVIDENCE_LEVEL=L1_OFFICIAL_HYDRAULIC_PRESENCE;GEOMETRY=POINT;RECORDS=66;UNIQUE_RAW_ENTITIES=33;FEATURE_ID_SHA256=9d789b2e0e5f32f5048baa315968e794467cca20c73d3e4767b5856fb257c8cb;SAMPLE_IDS=7203|7205|7207|40040|40056;SAMPLE_RAW_ENTITIES=COMITE DE USUARIO DE AGUA  LAS ZARZAS|COMITE DE USUARIOS DE AGUA DE LOS CANALES EL LANCHE, PARAGUIDO, EL POSTE, EL JAGUAY CLARO DEL CASERIO OVEJERIA.;RAW_DISTRICT=Frias;RAW_PROVINCE=Ayabaca;DATE_RANGE=2019-08-13:2025-08-02; point location and license semantics do not prove service area, membership, fraction, or exhaustive coverage."
,San Lorenzo,,,,MULTIPLE_GEOSNIRH_SOURCE_NAMES,JILILI,AYABACA,200203,CERTIFIED_EXACT_POLITICAL_LOCATION,NONEXHAUSTIVE_PRESENCE_ONLY,PARTIAL_UNKNOWN,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003,PARTIAL_COVERAGE_ONLY,FALSE,,NO_CONFIRMED_MULTI_SERVICE,SERVICE_MEMBERSHIP_AREA_PARTITION_AND_FRACTION_NOT_ESTABLISHED,"EVIDENCE_LEVEL=L1_OFFICIAL_HYDRAULIC_PRESENCE;GEOMETRY=POINT;RECORDS=28;UNIQUE_RAW_ENTITIES=27;FEATURE_ID_SHA256=c38463d1373e4a4aff453dd031b018e44545b70f9ec0ce40f3ece89cb2200cd5;SAMPLE_IDS=7710|7713|8128|40134|40447;SAMPLE_RAW_ENTITIES=COMITE DE USUARIOS DE AGUA CANAL CARRIZO MELCHORITA|COMITE DE USUARIOS DE AGUA DEL CANAL EL HIGUERON;RAW_DISTRICT=Jilili;RAW_PROVINCE=Ayabaca;DATE_RANGE=2019-09-10:2025-08-20; point location and license semantics do not prove service area, membership, fraction, or exhaustive coverage."
,San Lorenzo,,,,MULTIPLE_GEOSNIRH_SOURCE_NAMES,LAGUNAS,AYABACA,200204,CERTIFIED_EXACT_POLITICAL_LOCATION,NONEXHAUSTIVE_PRESENCE_ONLY,PARTIAL_UNKNOWN,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003,PARTIAL_COVERAGE_ONLY,FALSE,,NO_CONFIRMED_MULTI_SERVICE,SERVICE_MEMBERSHIP_AREA_PARTITION_AND_FRACTION_NOT_ESTABLISHED,"EVIDENCE_LEVEL=L1_OFFICIAL_HYDRAULIC_PRESENCE;GEOMETRY=POINT;RECORDS=105;UNIQUE_RAW_ENTITIES=102;FEATURE_ID_SHA256=6b20d6793074765d393c9cb661493db4f1c1fd2fd49046886460093ce0da3ef3;SAMPLE_IDS=8134|9091|9092|40379|40385;SAMPLE_RAW_ENTITIES=COMITE DE USUARIOS DE AGUA  GUARGUARES|COMITE DE USUARIOS DE AGUA CANAL LA SABILA;RAW_DISTRICT=Lagunas;RAW_PROVINCE=Ayabaca;DATE_RANGE=2019-10-09:2025-08-15; point location and license semantics do not prove service area, membership, fraction, or exhaustive coverage."
,San Lorenzo,,,,MULTIPLE_GEOSNIRH_SOURCE_NAMES,MONTERO,AYABACA,200205,CERTIFIED_EXACT_POLITICAL_LOCATION,NONEXHAUSTIVE_PRESENCE_ONLY,PARTIAL_UNKNOWN,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003,PARTIAL_COVERAGE_ONLY,FALSE,,NO_CONFIRMED_MULTI_SERVICE,SERVICE_MEMBERSHIP_AREA_PARTITION_AND_FRACTION_NOT_ESTABLISHED,"EVIDENCE_LEVEL=L1_OFFICIAL_HYDRAULIC_PRESENCE;GEOMETRY=POINT;RECORDS=28;UNIQUE_RAW_ENTITIES=25;FEATURE_ID_SHA256=c85ce212103309be6c91d6dfcbf24df5190bba68437cded02c68650a5edb6677;SAMPLE_IDS=7233|7234|7236|9191|9192;SAMPLE_RAW_ENTITIES=COMITE DE USUARIOS DE AGUA DE LA LINEA DE CONDUCCIÓN LOS PEROLES|COMITE DE USUARIOS DE AGUA DE LOS CANALES EL PAPALLO Y LA PEÑA;RAW_DISTRICT=Montero;RAW_PROVINCE=Ayabaca;DATE_RANGE=2019-08-14:2019-12-27; point location and license semantics do not prove service area, membership, fraction, or exhaustive coverage."
,San Lorenzo,,,,MULTIPLE_GEOSNIRH_SOURCE_NAMES,PACAIPAMPA,AYABACA,200206,CERTIFIED_EXACT_POLITICAL_LOCATION,NONEXHAUSTIVE_PRESENCE_ONLY,PARTIAL_UNKNOWN,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003,PARTIAL_COVERAGE_ONLY,FALSE,,NO_CONFIRMED_MULTI_SERVICE,SERVICE_MEMBERSHIP_AREA_PARTITION_AND_FRACTION_NOT_ESTABLISHED,"EVIDENCE_LEVEL=L1_OFFICIAL_HYDRAULIC_PRESENCE;GEOMETRY=POINT;RECORDS=83;UNIQUE_RAW_ENTITIES=81;FEATURE_ID_SHA256=e85e501507761d22aa3940973eb1bdff2b5829ef93e23ee8d0239351a7c64c82;SAMPLE_IDS=7206|7209|7211|40050|40330;SAMPLE_RAW_ENTITIES=COMITE DE  USUARIOS DE AGUA  EL JARDIN|COMITE DE  USUARIOS DE AGUA LA CHORRERA;RAW_DISTRICT=Pacaipampa;RAW_PROVINCE=Ayabaca;DATE_RANGE=2019-08-13:2025-08-14; point location and license semantics do not prove service area, membership, fraction, or exhaustive coverage."
