EVIDENCE_ID,DOMAIN,SOURCE_TIER,SOURCE_AUTHORITY,SOURCE_TITLE,SOURCE_DATE,SOURCE_URL,SOURCE_DOCUMENT_TYPE,PAGE_OR_SECTION,ENTITY_TYPE,ENTITY_NAME,CLAIM_TYPE,RAW_PLACE_NAME,DISTRICT_NAME,PROVINCE_NAME,UBIGEO,EVIDENCE_SCOPE,EXHAUSTIVENESS_STATUS,EVIDENCE_STATUS,EXACT_FINDING,LIMITATION,NOTES
C0B2-AG-010,AGENCY,A1_OFFICIAL_DRAP,Direccion Regional de Agricultura Piura,Gobierno Regional Piura apoya la produccion de cafe con supervision de viveros en Ayabaca,2025-01-10,https://www.gob.pe/institucion/regionpiura-dra/noticias/1088752-gobierno-regional-piura-apoya-la-produccion-de-cafe-con-supervision-de-viveros-en-ayabaca,GOB_PE_PRESS_RELEASE,Nota de prensa,AGENCIA_AGRARIA_ACTIVITY,Agencia Agraria Ayabaca,ACTIVITY_PRESENCE_ONLY,Ayabaca,AYABACA,AYABACA,200201,NAMED_DISTRICT_ACTIVITY,NONEXHAUSTIVE_PRESENCE_ONLY,PRESENCE_ONLY,Agency Ayabaca monitored official coffee nurseries in Ayabaca.,Activity does not establish exhaustive jurisdiction.,Relation is retained as activity presence only.
C0B2-AG-011,AGENCY,A1_OFFICIAL_DRAP,Direccion Regional de Agricultura Piura,Gore y Municipalidad de Lagunas firman convenio de cooperacion institucional,2024-01-20,https://www.gob.pe/institucion/regionpiura-dra/noticias/895602-gorepiura-gore-y-municipalidad-de-lagunas-firman-convenio-de-cooperacion-institucional,GOB_PE_PRESS_RELEASE,Convenio de oficina de enlace,AGENCIA_AGRARIA_SUBORDINATE_OFFICE,Oficina de enlace de la Agencia Agraria Ayabaca,SUPPORTED_JURISDICTION,Lagunas,LAGUNAS,AYABACA,200204,NAMED_DISTRICT_OFFICE,PARTIAL_KNOWN,SUPPORTED_JURISDICTION,Official agreement establishes an Agency Ayabaca liaison office in Lagunas district.,One liaison office does not define the complete agency jurisdiction.,"Current supported relation, not exhaustive."
C0B2-AG-012,AGENCY,A1_OFFICIAL_DRAP,Direccion Regional de Agricultura Piura,Gore Piura reporta 21879 caprinos inmunizados y avances en asociatividad en el valle del Chira,2025-10-01,https://www.gob.pe/institucion/regionpiura-dra/noticias/1253577-gore-piura-reporta-21-879-caprinos-inmunizados-y-avances-en-asociatividad-en-el-valle-del-chira,GOB_PE_PRESS_RELEASE,Nota de prensa,AGENCIA_AGRARIA_ACTIVITY,Agencia Agraria Chira,ACTIVITY_PRESENCE_ONLY,Sullana;Marcavelica;Ignacio Escudero;Lancones,,,,NAMED_DISTRICT_ACTIVITY,NONEXHAUSTIVE_PRESENCE_ONLY,PRESENCE_ONLY,Agency Chira activity was coordinated with four named municipalities; Lancones is outside the model universe.,Activity does not establish exhaustive jurisdiction.,Relation is retained as activity presence only.
C0B2-AG-013,AGENCY,A1_OFFICIAL_DRAP,Direccion Regional de Agricultura Piura,Direccion Regional de Agricultura de Piura y Minagri realizaran actualizacion de marco de lista del proyecto PIADER,2019-03-15,https://www.gob.pe/institucion/regionpiura-dra/noticias/621422-direccion-regional-de-agricultura-de-piura-y-minagri-realizaran-actualizacion-de-marco-de-lista-del-proyecto-piader-a-empresas-agricolas-del,GOB_PE_PRESS_RELEASE,Nota de prensa,AGENCIA_AGRARIA_ACTIVITY,Agencia Agraria San Lorenzo,ACTIVITY_PRESENCE_ONLY,Tambogrande,TAMBO GRANDE,PIURA,200114,NAMED_DISTRICT_ACTIVITY,NONEXHAUSTIVE_PRESENCE_ONLY,PRESENCE_ONLY,Official PIADER work used the Agencia Agraria San Lorenzo office in Tambogrande.,Activity does not establish exhaustive jurisdiction.,Relation is retained as activity presence only.
C0B2-GIS-001,DISTRICT_LINKAGE,H1_MASTER_OFFICIAL_SOURCE,Autoridad Nacional del Agua / GeoSNIRH,SERV_Formalizacion ArcGIS MapServer layer metadata,RETRIEVED_2026-08-16,https://geosnirh.ana.gob.pe/server/rest/services/P%C3%BAblico/SERV_Formalizacion/MapServer/19?f=pjson,OFFICIAL_ARCGIS_REST_JSON,Layer 19 Formalizacion,FORMALIZATION_LICENSE_POINT_LAYER,BDSNIRH.gis.vFormalizacion,LAYER_SEMANTICS_AND_GEOMETRY,,,,,NATIONAL_LAYER_METADATA,PARTIAL_KNOWN,SUPPORTED_PARTIAL_PRESENCE,ArcGIS 11.3 layer 19 Formalizacion is an esriGeometryPoint feature layer in EPSG:4326; ID_Resolucion is the OID.,The service description does not define points as service-area polygons or exhaustive irrigation coverage.,"Geometry firewall: a point may support L1 presence after semantic filtering, never district-wide service."
C0B2-GIS-002,DISTRICT_LINKAGE,H1_MASTER_OFFICIAL_SOURCE,Autoridad Nacional del Agua / GeoSNIRH,SERV_Formalizacion WFS capabilities and feature schema,RETRIEVED_2026-08-16,https://geosnirh.ana.gob.pe/server/services/P%C3%BAblico/SERV_Formalizacion/MapServer/WFSServer,OFFICIAL_WFS_2_0_0_XML,GetCapabilities;DescribeFeatureType SERV_Formalizacion:Formalizacion,WFS_SCHEMA,SERV_Formalizacion:Formalizacion,REPRODUCIBLE_SERVICE_SCHEMA,,,,,NATIONAL_LAYER_SCHEMA,COMPLETE_EXHAUSTIVE,CERTIFIED_EXACT_POLITICAL_LOCATION,WFS 2.0.0 uses EPSG:4326 point geometry and publishes 24 attributes from ID_Resolucion through NombreUH.,Field meanings beyond published aliases are not silently inferred.,"Complete fields: ID_Resolucion,CoorE,CoorN,Zona,geom,Icono,Nombre,Clase,Uso,AAA,ALA,Dep,Pro,Dis,Fuentes,ResFile,ResTipo,ResFecha,ResCUT,ID,Descripcion,EnPeru,CodigoUH,NombreUH. Requests and typeName are documented."
C0B2-GIS-003,DISTRICT_LINKAGE,H1_MASTER_OFFICIAL_SOURCE,Autoridad Nacional del Agua / GeoSNIRH,SERV_Formalizacion WFS CSV deterministic Piura agricultural extraction,RETRIEVED_2026-08-16,https://geosnirh.ana.gob.pe/server/services/P%C3%BAblico/SERV_Formalizacion/MapServer/WFSServer?service=WFS&request=GetFeature&typeName=SERV_Formalizacion%3AFormalizacion&outputFormat=CSV,OFFICIAL_WFS_CSV,Client filter Dep=Piura AND Uso=Agricola; exact district+province match,FORMALIZATION_LICENSE_POINT_FAMILY,Piura agricultural formalization records,L1_OFFICIAL_HYDRAULIC_PRESENCE,Dep=Piura;Uso=Agrícola,,ALL_PIURA_MODEL_PROVINCES_WITH_MATCHES,,44_MODEL_DISTRICTS_54_DISTRICT_ALA_RELATIONS,NONEXHAUSTIVE_PRESENCE_ONLY,CERTIFIED_EXACT_POLITICAL_LOCATION,WFS returned 20713 records; 1674 Piura agricultural license points; 1669 matched 44 model districts; 5 had blank district; 54 district-ALA families; 1504 byte-distinct raw Nombre values and 1500 values after whitespace trimming; ID_Resolucion and GmlId are unique.,"FORMALIZATION_ENTITIES_NOT_IRRIGATION_BLOCKS. Point features are license/formalization locations, not service polygons, institutional membership, complete irrigation inventory, service fractions, or rainfed evidence.",RAW_WFS_CSV_SHA256=1bd3126343d9dd6e43d909e92a19a42696e0b2f94242aa0f76348d9fa1cb497a;CANONICAL_MATCHED_SUBSET_SHA256=e3fb61ea97f41c48a4db087899eff13061252b6bd53ae0b109a4bf15c9ef29e8;date range 2018-10-10 to 2026-07-21; numeric ID sorting neutralizes WFS order.;FORMALIZATION_ENTITY_TERMINOLOGY=FORMALIZATION_ENTITIES_NOT_IRRIGATION_BLOCKS
C0B2-HYD-001,HYDRAULIC_SYSTEM,H1_MASTER_OFFICIAL_SOURCE,Consejo de Recursos Hidricos de Cuenca Chira-Piura / ANA,Oportunidad de aprovechamiento y uso,NO_DATE_ON_PAGE,https://crhc.ana.gob.pe/chira-piura/ambito-de-gestion/oportunidad-de-aprovechamiento-y-uso,OFFICIAL_CRHC_WEB_PAGE,Infraestructura hidraulica,OPERATIONAL_HYDRAULIC_SYSTEM,Sistema Hidraulico Chira Piura;Sistema Hidraulico San Lorenzo;Sistema Hidraulico Alto Piura,OFFICIAL_SYSTEM_CONTEXT,Departamento de Piura,,,,OFFICIAL_SYSTEM_CONTEXT,PARTIAL_KNOWN,SUPPORTED_PARTIAL_PRESENCE,CRHC identifies three operational hydraulic systems in its management scope.,No district service partitions or fractions are supplied.,"Chinchipe Chamaya and Motupe Olmos La Leche are administrative/hydrographic contexts, not operational systems."
C0B2-HYD-002,JUNTA,H3_PRIMARY_OFFICIAL_INSTITUTIONAL_EVIDENCE,Consejo de Recursos Hidricos de Cuenca Chira-Piura / ANA,Grupos de trabajo para la organizacion,NO_DATE_ON_PAGE,https://crhc.ana.gob.pe/chira-piura/organizacion-del-consejo/grupos-de-trabajo,OFFICIAL_CRHC_WEB_PAGE,Grupos PADH y Red de comunicadores,JUNTA_DE_USUARIOS,Alto Piura;Medio y Bajo Piura;San Lorenzo;Chira;Sechura,OFFICIAL_INSTITUTIONAL_ACTOR,Piura,,,,OFFICIAL_INSTITUTIONAL_ACTOR,PARTIAL_KNOWN,SUPPORTED_PARTIAL_PRESENCE,CRHC lists five user boards and four ALAs.,Institutional participation is not a district service partition.,Sechura and Medio y Bajo Piura remain distinct organizational scopes.
C0B2-HYD-003,JUNTA,H3_PRIMARY_OFFICIAL_INSTITUTIONAL_EVIDENCE,Autoridad Nacional del Agua,ANA y Junta Regional de Usuarios Piura Tumbes evaluaron situacion hidrica de Piura,2011-02-14,https://www.gob.pe/institucion/ana/noticias/139865-ana-y-junta-regional-de-usuarios-piura-tumbes-evaluaron-situacion-hidrica-de-piura,GOB_PE_PRESS_RELEASE,Nota de prensa,JUNTA_AND_ALA,Medio y Bajo Piura;Sechura;Chira;San Lorenzo;ALAs Chira;San Lorenzo;Medio y Bajo Piura;Alto Piura;Huancabamba,OFFICIAL_INSTITUTIONAL_ACTOR,Piura,,,,OFFICIAL_INSTITUTIONAL_ACTOR,PARTIAL_KNOWN,SUPPORTED_PARTIAL_PRESENCE,ANA identifies distinct boards and ALAs participating in Piura water management.,Participation does not prove district service membership.,Triangulates the organizational ontology.
C0B2-HYD-004,COMMISSION,H2_EXACT_OFFICIAL_ADMINISTRATIVE_RECORD,Autoridad Autonoma de la Cuenca Hidrografica Chira-Piura / ANA repository,Diagnostico de la cuenca del rio Piura con enfoque de gestion del riesgo,NO_DATE_ON_DOCUMENT;PDF_METADATA_2006-03-05,https://repositorio.ana.gob.pe/backend/api/core/bitstreams/d718f10a-e282-45d9-9292-fa470069495b/content,OFFICIAL_REPOSITORY_PDF,Page 33;Cuadro N. 8,COMMISSION_MASTER_TABLE,36 named commissions under Alto Piura;San Lorenzo;Medio y Bajo Piura;Sechura,INSTITUTIONAL_MEMBERSHIP_EVIDENCE,Serran;Bigote;Malacasi;Ingenio Buenos Aires;La Gallega;Pabur;Charanal;Yapatera;Sancor;Vicus;Tejedores;TJ-05;San Isidro I y II;TG-Malingas;Hualtaco III;M-Malingas;Hualtaco I II y IV;Valle de los Incas;Valle Hermoso;Margen Izquierda;Margen Derecha;Castilla;Puyuntala;La Bruja;Palo Parado;Cumbibira;Shaz;Casarana;Sinchao parte alta;Chato;Seminario;Parte Alta;San Andres;Margen Izquierda;Margen Derecha;Delegados de Canal,,,,MASTER_ORGANIZATIONAL_TABLE,PARTIAL_KNOWN,SUPPORTED_JURISDICTION,"Official table names 10 Alto Piura, 9 San Lorenzo, 12 Medio y Bajo Piura, and 5 Sechura commissions.","Historical master table is not a current exhaustive roster and gives basin-scale scope, not exact district service partitions.",PDF page 33 was visually checked; source line cites the relevant water administrations.
C0B2-HYD-005,COMMISSION,H3_PRIMARY_OFFICIAL_INSTITUTIONAL_EVIDENCE,Autoridad Nacional del Agua,ANA capacita a personal de la Junta de Usuarios San Lorenzo en el uso del aplicativo POMDIH Web,2025-06-25,https://www.gob.pe/institucion/ana/noticias/1194445-ana-capacita-a-personal-de-la-junta-de-usuarios-san-lorenzo-en-el-uso-del-aplicativo-pomdih-web,GOB_PE_PRESS_RELEASE,Nota de prensa,COMMISSION_COUNT,16 comisiones de usuarios de San Lorenzo,CURRENT_COMMISSION_COUNT,San Lorenzo,,,,JUNTA_MEMBERSHIP_COUNT,COMPLETE_EXHAUSTIVE,SUPPORTED_JURISDICTION,ANA states that 16 user commissions integrate the San Lorenzo board.,The article states the count but does not name all 16 or map them to districts; the current official roster is recorded separately in C0B2-HYD-015.,Current count triangulated with electoral and RADA/PUA records.
C0B2-HYD-006,COMMISSION,H3_PRIMARY_OFFICIAL_INSTITUTIONAL_EVIDENCE,Autoridad Nacional del Agua,San Lorenzo inicio actividades de mantenimiento de canales,2020-08-11,https://www.gob.pe/institucion/ana/noticias/294023-san-lorenzo-inicio-actividades-de-mantenimiento-de-canales,GOB_PE_PRESS_RELEASE,Nota de prensa,COMMISSION_AND_MAINTENANCE_UNIT,Tejedores;TJ 05;Chipillico Bajo;Yuscay Tablazo Alto;Quiroz-Paimas;M-Malingas;Hualtaco I-II-IV;Algarrobo Valle Hermoso;Quebrada Totoral;Chipillico Alto;Hualtaco III;TG-Malingas;San Isidro I-II;Valle de los Incas,INSTITUTIONAL_MEMBERSHIP_EVIDENCE,Valle de San Lorenzo;Las Lomas,,,,NAMED_COMMISSION_FAMILY,PARTIAL_KNOWN,SUPPORTED_PARTIAL_PRESENCE,ANA names multiple San Lorenzo commissions/maintenance units and locates four commissions in Las Lomas.,Maintenance participation is not a complete service-area map.,"Las Lomas relation is L2 institutional membership, not L3 service area; SOURCE_SPELLING_ALIAS=QUEBRADA_TOTORAL; CURRENT_RA_0354_CANONICAL=QUEBRADA_TOTOTAL."
C0B2-HYD-007,COMMISSION,H3_PRIMARY_OFFICIAL_INSTITUTIONAL_EVIDENCE,Direccion Regional de Agricultura Piura / Junta de Usuarios Huancabamba,Culmina con exito limpieza de 37 canales en Huancabamba y beneficia a mas de 2300 agricultores,2025-09-17,https://www.gob.pe/institucion/regionpiura-dra/noticias/1248206-culmina-con-exito-limpieza-de-37-canales-en-huancabamba-y-beneficia-a-mas-de-2-300-agricultores,GOB_PE_PRESS_RELEASE,Nota de prensa,COMMISSION_AND_CHANNEL_FAMILY,Chantaco Shaya Tacarpo;Putaga Jicate;Cataluco;Tierra Amarillas;Cascapampa;Sondorillo;Los Laureles de Parguyuc,INSTITUTIONAL_MEMBERSHIP_EVIDENCE,Sondor;Huancabamba;Sondorillo;Huarmaca,,,,NAMED_COMMISSION_FAMILY,PARTIAL_KNOWN,SUPPORTED_PARTIAL_PRESENCE,Official record names seven commissions coordinated with the Huancabamba board across four districts and 37 channels.,"Except where independently resolved, every named commission is not assigned to one exact district.",Los Laureles de Parguyuc is explicitly parenthesized Huarmaca; other exact links use WFS or additional sources.
C0B2-HYD-008,IRRIGATION_SERVICE_AREA,H2_EXACT_OFFICIAL_ADMINISTRATIVE_RECORD,Ministerio de Agricultura y Riego,Piura: Minagri rehabilita canal de riego Narihuala en Catacaos y Cura Mori,2019-12-10,https://www.gob.pe/institucion/midagri/noticias/70699-piura-minagri-rehabilita-canal-de-riego-narihuala-en-catacaos-y-cura-mori,GOB_PE_PRESS_RELEASE,Nota de prensa,CANAL_SERVICE_RELATION,Canal Lateral Narihuala;Comision de Usuarios Puyuntala;Junta Medio-Bajo Piura,L3_SERVICE_AREA_RELATION,Catacaos;Cura Mori,,,,NAMED_PARTIAL_SERVICE_AREA,PARTIAL_KNOWN,CERTIFIED_EXACT_SERVICE_RELATION,Official rehabilitation record links Canal Narihuala and Puyuntala commission to agricultural sectors in Catacaos and Cura Mori.,The 700 ha project area is not a district service fraction or complete district service universe.,Two district relations are recorded; no fraction is propagated.
C0B2-HYD-009,IRRIGATION_BLOCK,H2_EXACT_OFFICIAL_ADMINISTRATIVE_RECORD,Autoridad Nacional del Agua,ANA entrega licencia de uso de agua en bloque a regantes de la cuenca Chira Piura,2013-07-20,https://www.gob.pe/institucion/ana/noticias/139254-ana-entrega-licencia-de-uso-de-agua-en-bloque-a-regantes-de-la-cuenca-chira-piura,GOB_PE_PRESS_RELEASE,Nota de prensa,IRRIGATION_BLOCK,Bloque Los Chinguel;Comision San Pablo de la Capilla;Junta Valle Andino Huancabamba,L3_NAMED_SERVICE_UNIT,San Miguel del Faique,SAN MIGUEL DE EL FAIQUE,HUANCABAMBA,200306,NAMED_SERVICE_UNIT_IN_DISTRICT,PARTIAL_KNOWN,CERTIFIED_EXACT_SERVICE_RELATION,ANA granted a block water-use license for Los Chinguel in San Miguel del Faique.,"A named irrigation block/service unit is not an official geometric or area partition, does not define a district share, and supplies no numeric service fraction.","Official area 17.23 ha is not converted into a district weight; HISTORICAL_JUNTA_LABEL=JUNTA_VALLE_ANDINO_HUANCABAMBA; CURRENT_CANONICAL_LINEAGE=JUNTA_HUANCABAMBA."
C0B2-HYD-010,IRRIGATION_BLOCK,H2_EXACT_OFFICIAL_ADMINISTRATIVE_RECORD,Autoridad Nacional del Agua,Resolucion Directoral N. 1218-2022-ANA-AAA.JZ,2022-08-05,https://www.ana.gob.pe/sites/default/files/normatividad/files/RD-1218-2022.pdf,OFFICIAL_ANA_RESOLUTION_PDF,Pages 1-3;Articles 1-4,IRRIGATION_BLOCK,Bloque 50+500 Izquierda PMBP-05-B03;Comision Medio Piura Margen Derecha;Junta Medio y Bajo Piura,L3_NAMED_SERVICE_UNIT,Piura,PIURA,PIURA,200101,NAMED_SERVICE_UNIT_IN_DISTRICT,PARTIAL_KNOWN,CERTIFIED_EXACT_SERVICE_RELATION,"ANA RD 1218-2022 uses PMBP-05-B025 for the referenced 2006 antecedent and PMBP-05-B03 for the operative 2022 assignment and Article 2 in Piura district.","A named irrigation block/service unit is not an official geometric or area partition, does not define a district share, and supplies no numeric service fraction.",PIURA_SERVICE_UNIT_ANTECEDENT_CODE=PMBP-05-B025;PIURA_SERVICE_UNIT_ANTECEDENT_CONTEXT=2006_ANTECEDENT_REFERENCED_IN_RD_1218_2022;PIURA_SERVICE_UNIT_OPERATIVE_2022_CODE=PMBP-05-B03;PIURA_SERVICE_UNIT_CANONICAL_FOR_2022_RELATION=PMBP-05-B03.
