EVIDENCE_ID,VARIABLE,CLAIM,CLAIM_CATEGORY,SOURCE_TIER,SOURCE_AUTHORITY,SOURCE_TITLE,SOURCE_DATE,SOURCE_URL,LOCAL_SOURCE_PATH,EXACT_DATASET_LINKAGE,EVIDENCE_FINDING,DECISION_STATUS,DECISION_VALUE,LIMITATION,NOTES
C0A-E011,CROSS_VARIABLE,Exact source linkage is GORE Piura DRA open-data package,SOURCE_LINKAGE,TIER_1,GORE_PIURA_DRA,Formato_Metadatos_productos_dra_.docx,2025-05-27,https://www.datosabiertos.gob.pe/dataset/campa%C3%B1a-agr%C3%ADcola-de-los-principales-cultivos-de-la-regi%C3%B3n-piura-gobierno-regional-piura-grp,data/raw/Formato_Metadatos_productos_dra_.docx,TRUE,Metadata names dataset title entity source URL license and DRA statistical office,CERTIFIED_EXACT_SOURCE,EXACT_GORE_PIURA_DRA_DATASET_PACKAGE,External dataset page returned WAF 418 during C0A.1 local access attempt,Source package is locally present
C0A-E012,MES,MES values are compatible with YYYYMM calendar month coding,NUMERICAL_CONCORDANCE,TIER_1,PROJECT_QA_EXACT_SOURCE_AUDIT,raw_agricultural_audit.json,NOT_SPECIFIED,LOCAL_ONLY,outputs/qa/raw_agricultural_audit.json,TRUE,QA reports first_month 2015-08 last_month 2024-12 unique_months 113 and no ANO-MES mismatches,SUPPORTED_NOT_CERTIFIED,YYYYMM_CONCORDANCE_PASS,This confirms encoding pattern not independent documentation,Used only for temporal provenance
C0A-E013,MES,MES means month in which agricultural campaign occurred,SEMANTICS,TIER_1,GORE_PIURA_DRA,Formato_DiccionarioDatos_productos_dra_.xlsx,2025-05-27,https://www.datosabiertos.gob.pe/dataset/campa%C3%B1a-agr%C3%ADcola-de-los-principales-cultivos-de-la-regi%C3%B3n-piura-gobierno-regional-piura-grp,data/raw/Formato_DiccionarioDatos_productos_dra_.xlsx,TRUE,Dictionary states MES is the month in which the agricultural campaign occurred,CERTIFIED_EXACT_SOURCE,MONTH_OF_RECORDED_CAMPAIGN_ACTIVITY,Dictionary does not separately state Gregorian wording,Exact source definition retained
C0A-E014,MES,MES is a standard calendar month encoded as YYYYMM,TEMPORAL,TIER_1,GORE_PIURA_DRA,Formato_DiccionarioDatos_productos_dra_.xlsx,2025-05-27,https://www.datosabiertos.gob.pe/dataset/campa%C3%B1a-agr%C3%ADcola-de-los-principales-cultivos-de-la-regi%C3%B3n-piura-gobierno-regional-piura-grp,data/raw/Formato_DiccionarioDatos_productos_dra_.xlsx,TRUE,Dictionary size 6 and raw values form YYYYMM monthly sequence,CERTIFIED_EXACT_SOURCE,CALENDAR_MONTH_YYYYMM,Certification combines dictionary field and exact raw encoding,No alternative temporal index observed
C0A-E015,PRECIO_CHACRA,PRECIO_CHACRA means farm-gate price received by producer,SEMANTICS,TIER_1,GORE_PIURA_DRA,Formato_DiccionarioDatos_productos_dra_.xlsx,2025-05-27,https://www.datosabiertos.gob.pe/dataset/campa%C3%B1a-agr%C3%ADcola-de-los-principales-cultivos-de-la-regi%C3%B3n-piura-gobierno-regional-piura-grp,data/raw/Formato_DiccionarioDatos_productos_dra_.xlsx,TRUE,Dictionary defines value received by agricultural producer at farm unit and excludes IGV,CERTIFIED_EXACT_SOURCE,FARM_GATE_PRICE_RECEIVED_BY_PRODUCER,No ambiguity for price semantics,Exact source says unit agropecuaria
C0A-E016,PRECIO_CHACRA,PRECIO_CHACRA unit is soles per kilogram,UNIT,TIER_1,GORE_PIURA_DRA,Formato_DiccionarioDatos_productos_dra_.xlsx,2025-05-27,https://www.datosabiertos.gob.pe/dataset/campa%C3%B1a-agr%C3%ADcola-de-los-principales-cultivos-de-la-regi%C3%B3n-piura-gobierno-regional-piura-grp,data/raw/Formato_DiccionarioDatos_productos_dra_.xlsx,TRUE,Dictionary states price is per unit weight S/ x Kg and notes currency sol,CERTIFIED_EXACT_SOURCE,SOL_PER_KG,Exact source has spelling issue modeda sol but unit is explicit,No GVP calculation authorized
C0A-E017,PRODUCCION,PRODUCCION means total volume of primary product obtained when harvesting an area,SEMANTICS,TIER_1,GORE_PIURA_DRA,Formato_DiccionarioDatos_productos_dra_.xlsx,2025-05-27,https://www.datosabiertos.gob.pe/dataset/campa%C3%B1a-agr%C3%ADcola-de-los-principales-cultivos-de-la-regi%C3%B3n-piura-gobierno-regional-piura-grp,data/raw/Formato_DiccionarioDatos_productos_dra_.xlsx,TRUE,Dictionary defines total volume obtained of primary product when harvesting a determined area,CERTIFIED_EXACT_SOURCE,PRODUCTION_VOLUME_OF_PRIMARY_PRODUCT,Physical mass unit is not provided in exact dictionary,Exact semantics certified
C0A-E018,PRODUCCION,Exact supplied dictionary does not itself state tonnes or kilograms for PRODUCCION,UNIT,TIER_1,GORE_PIURA_DRA,Formato_DiccionarioDatos_productos_dra_.xlsx,2025-05-27,https://www.datosabiertos.gob.pe/dataset/campa%C3%B1a-agr%C3%ADcola-de-los-principales-cultivos-de-la-regi%C3%B3n-piura-gobierno-regional-piura-grp,data/raw/Formato_DiccionarioDatos_productos_dra_.xlsx,TRUE,Dictionary says volume but does not specify tonne kilogram or another production unit,CERTIFIED_EXACT_SOURCE,EXACT_DICTIONARY_UNIT_ABSENT,C0A.1 uses institutional convergence rather than exact-source unit certification,Do not infer from plausibility alone
C0A-E019,PRODUCCION,Final adjudication of PRODUCCION unit as metric tonne,UNIT,TIER_2,GORE_PIURA_DRAP_OFICINA_ESTADISTICA,DRAP institutional convergence synthesis,2026-01-23,https://www.gob.pe/institucion/regionpiura-dra/noticias/1339511-produccion-de-mango-en-piura-crece-55-8-y-supera-las-535-mil-toneladas-en-2025,WEB_OFFICIAL_DRAP,PARTIAL,Exact dataset is from same DRA Piura statistical office and three DRAP official publications consistently express production in tonnes or metric tonnes,CERTIFIED_INSTITUTIONAL_CONVERGENCE,METRIC_TONNE,Not CERTIFIED_EXACT_SOURCE because exact dictionary omits unit,Numerical concordance was not forced
C0A-E020,PRODUCCION,DRAP lemon publication expresses production in tonnes with hectares yield and S per kg price,UNIT,TIER_2,GORE_PIURA_DRAP_OFICINA_ESTADISTICA,Piura consolida liderazgo en la producción de limón sutil con más de 203 mil toneladas y exportaciones a seis paises,2026-01-16,https://www.gob.pe/institucion/regionpiura-dra/noticias/1334442-piura-consolida-liderazgo-en-la-produccion-de-limon-sutil-con-mas-de-203-mil-toneladas-y-exportaciones-a-seis-paises,WEB_OFFICIAL_DRAP,PARTIAL,Official DRAP note reports 203814.30 tonnes on 17253 hectares with 11.81 TM per hectare and S/1.41 per kilogram,CERTIFIED_INSTITUTIONAL_CONVERGENCE,METRIC_TONNE,Calendar year 2025 is outside raw coverage and not used for raw concordance,Independent same-authority publication
C0A-E021,PRODUCCION,DRAP rice publication expresses production in metric tonnes with hectares and kg per ha yield,UNIT,TIER_2,GORE_PIURA_DRAP_OFICINA_ESTADISTICA,Piura produjo más de 516 mil toneladas de arroz durante el año 2025,2026-01-22,https://www.gob.pe/institucion/regionpiura-dra/noticias/1338992-piura-produjo-mas-de-516-mil-toneladas-de-arroz-durante-el-ano-2025,WEB_OFFICIAL_DRAP,PARTIAL,Official DRAP note reports 516469 metric tonnes harvested from 51711 hectares and 9581.68 kg per hectare,CERTIFIED_INSTITUTIONAL_CONVERGENCE,METRIC_TONNE,Calendar year 2025 is outside raw coverage and not used for raw concordance,Independent same-authority publication
C0A-E022,PRODUCCION,DRAP campaign rice publication expresses production in metric tonnes for campaign 2024-2025,UNIT,TIER_2,GORE_PIURA_DRAP_OFICINA_ESTADISTICA,Piura supera las 534 mil toneladas de arroz en la Campaña Agrícola 2024-2025,2026-03-20,https://www.gob.pe/institucion/regionpiura-dra/noticias/1368573-piura-supera-las-534-mil-toneladas-de-arroz-en-la-campana-agricola-2024-2025,WEB_OFFICIAL_DRAP,PARTIAL,Official DRAP note reports 534350 metric tonnes for agricultural campaign 2024-2025 with 57545 hectares and 10000 kg per hectare,CERTIFIED_INSTITUTIONAL_CONVERGENCE,METRIC_TONNE,Campaign period exceeds raw coverage and is not used for numerical concordance,Used for unit semantics only
C0A-E023,PRODUCCION,DRAP mango publication expresses production in metric tonnes with hectares and metric tonnes per ha yield,UNIT,TIER_2,GORE_PIURA_DRAP_OFICINA_ESTADISTICA,Producción de mango en Piura crece 55.8 por ciento y supera las 535 mil toneladas en 2025,2026-01-23,https://www.gob.pe/institucion/regionpiura-dra/noticias/1339511-produccion-de-mango-en-piura-crece-55-8-y-supera-las-535-mil-toneladas-en-2025,WEB_OFFICIAL_DRAP,PARTIAL,Official DRAP note reports 535407 metric tonnes from 29686 hectares and yield over 18 metric tonnes per hectare,CERTIFIED_INSTITUTIONAL_CONVERGENCE,METRIC_TONNE,Calendar year 2025 is outside raw coverage and not used for raw concordance,Independent same-authority publication
C0A-E024,PRODUCCION,MIDAGRI SIEA compendium covers production yield harvested area and farm-gate price variables,UNIT,TIER_3,MIDAGRI_SIEA,Compendio anual de PRODUCCIÓN AGRÍCOLA,2026-03-04,https://www.gob.pe/institucion/midagri/informes-publicaciones/2730325-compendio-anual-de-produccion-agricola,WEB_OFFICIAL_MIDAGRI,FALSE,Official MIDAGRI page describes statistical variables including planted area harvested area production yield and farm-gate price,SUPPORTED_NOT_CERTIFIED,NATIONAL_SYSTEM_SUPPORT_ONLY,Tier 3 does not certify exact GORE Piura field by itself,Not counted as same-authority DRAP convergence
C0A-E025,SIEMBRA,SIEMBRA means sown area in a determined month,SEMANTICS,TIER_1,GORE_PIURA_DRA,Formato_DiccionarioDatos_productos_dra_.xlsx,2025-05-27,https://www.datosabiertos.gob.pe/dataset/campa%C3%B1a-agr%C3%ADcola-de-los-principales-cultivos-de-la-regi%C3%B3n-piura-gobierno-regional-piura-grp,data/raw/Formato_DiccionarioDatos_productos_dra_.xlsx,TRUE,Dictionary defines SIEMBRA as surface of land sown in a determined month,CERTIFIED_EXACT_SOURCE,SOWN_AREA,No ambiguity for semantic meaning,Monthly source variable
C0A-E026,SIEMBRA,SIEMBRA is a monthly flow area not a stock,STOCK_FLOW,TIER_1,GORE_PIURA_DRA,Formato_DiccionarioDatos_productos_dra_.xlsx,2025-05-27,https://www.datosabiertos.gob.pe/dataset/campa%C3%B1a-agr%C3%ADcola-de-los-principales-cultivos-de-la-regi%C3%B3n-piura-gobierno-regional-piura-grp,data/raw/Formato_DiccionarioDatos_productos_dra_.xlsx,TRUE,Definition ties SIEMBRA to land sown in a determined month,CERTIFIED_EXACT_SOURCE,MONTHLY_FLOW_AREA,Annual aggregation may sum flows but C0A builds no outcome,No row exclusion implied
C0A-E027,SIEMBRA,SIEMBRA unit is hectares,UNIT,TIER_1,GORE_PIURA_DRA,Formato_DiccionarioDatos_productos_dra_.xlsx,2025-05-27,https://www.datosabiertos.gob.pe/dataset/campa%C3%B1a-agr%C3%ADcola-de-los-principales-cultivos-de-la-regi%C3%B3n-piura-gobierno-regional-piura-grp,data/raw/Formato_DiccionarioDatos_productos_dra_.xlsx,TRUE,Dictionary states surface in hectareas has,CERTIFIED_EXACT_SOURCE,ha,No unresolved unit issue for SIEMBRA,Exact source uses has
C0A-E028,VERDE_ACTUAL,VERDE_ACTUAL means current installed crop area,SEMANTICS,TIER_1,GORE_PIURA_DRA,Formato_DiccionarioDatos_productos_dra_.xlsx,2025-05-27,https://www.datosabiertos.gob.pe/dataset/campa%C3%B1a-agr%C3%ADcola-de-los-principales-cultivos-de-la-regi%C3%B3n-piura-gobierno-regional-piura-grp,data/raw/Formato_DiccionarioDatos_productos_dra_.xlsx,TRUE,Dictionary defines total area of crops installed from sowing or installation until before harvest for transients and during production for perennials,CERTIFIED_EXACT_SOURCE,CURRENT_INSTALLED_CROP_AREA,Do not infer from English standing area,Exact source semantics certified
C0A-E029,VERDE_ACTUAL,VERDE_ACTUAL is stock or snapshot area not a monthly flow,STOCK_FLOW,TIER_1,GORE_PIURA_DRA,Formato_DiccionarioDatos_productos_dra_.xlsx,2025-05-27,https://www.datosabiertos.gob.pe/dataset/campa%C3%B1a-agr%C3%ADcola-de-los-principales-cultivos-de-la-regi%C3%B3n-piura-gobierno-regional-piura-grp,data/raw/Formato_DiccionarioDatos_productos_dra_.xlsx,TRUE,Definition refers to area installed and present across crop life rather than area newly created each month,CERTIFIED_EXACT_SOURCE,STOCK_SNAPSHOT_AREA,Exact wording does not specify annual aggregation method,No sum of monthly stock authorized here
C0A-E030,VERDE_ACTUAL,VERDE_ACTUAL unit is likely area but not explicitly hectare-certified,UNIT,TIER_1,GORE_PIURA_DRA,Formato_DiccionarioDatos_productos_dra_.xlsx,2025-05-27,https://www.datosabiertos.gob.pe/dataset/campa%C3%B1a-agr%C3%ADcola-de-los-principales-cultivos-de-la-regi%C3%B3n-piura-gobierno-regional-piura-grp,data/raw/Formato_DiccionarioDatos_productos_dra_.xlsx,TRUE,Dictionary defines area total but does not repeat hectareas has for VERDE_ACTUAL,SUPPORTED_NOT_CERTIFIED,AREA_UNIT_LIKELY_HA_NOT_CERTIFIED,Unit should not be hard-coded without exact explicit statement,Conservative adjudication
C0A-E031,YIELD_RAW,YIELD_RAW is production over harvested area in frozen DATASET MASTER,DIMENSIONALITY,TIER_1,PROJECT_QA_EXACT_SOURCE_AUDIT,dataset_schema.json,NOT_SPECIFIED,LOCAL_ONLY,outputs/qa/dataset_schema.json,TRUE,Schema documents YIELD_RAW as annual production divided by annual harvested area,CERTIFIED_INSTITUTIONAL_CONVERGENCE,PRODUCTION_PER_HARVESTED_AREA_WITH_METRIC_TONNE_UNIT,Dimension follows exact arithmetic plus C0A.1 institutional convergence on PRODUCCION unit,No outcome rebuild authorized
C0A-E032,YIELD_RAW,YIELD_RAW unit follows metric tonne PRODUCCION over hectare COSECHA,UNIT,TIER_2,GORE_PIURA_DRAP_OFICINA_ESTADISTICA,DRAP institutional convergence synthesis,2026-01-23,https://www.gob.pe/institucion/regionpiura-dra/noticias/1339511-produccion-de-mango-en-piura-crece-55-8-y-supera-las-535-mil-toneladas-en-2025,WEB_OFFICIAL_DRAP,PARTIAL,Once PRODUCCION is adjudicated as metric tonne and COSECHA is exact-source certified as hectare the frozen arithmetic ratio is metric tonnes per hectare,CERTIFIED_INSTITUTIONAL_CONVERGENCE,TM_PER_HA,Do not rewrite panel_master.csv or YIELD_UNIT in frozen upstream files,Evidence adjudication only
