REFIT_ORDER,CROP,CROP_CODE,MODEL_ID,PERIOD_ID_COLUMN,OMITTED_PERIOD_ID,MANDATORY_NAMED_CASE,FULL_SAMPLE_N,OMITTED_ROWS,RETAINED_N,FULL_PERIODS,RETAINED_PERIODS,RETAINED_DISTRICTS,OMITTED_PERIOD_ROWS_REMAINING,EXTRA_ROWS_REMOVED,FULL_DESIGN_RANK_VALID,WITHIN_CLIMATE_RANK_VALID,ALL_TARGET_BETAS_FINITE,MODEL_VALID,STATUS,FULL_ORDERED_KEY_SHA256,RETAINED_ORDERED_KEY_SHA256,EXPECTED_RETAINED_KEY_SHA256,DISTRICT_FE,REMAINING_PERIOD_FE,REGRESSORS,FULL_DESIGN_RANK,FULL_DESIGN_COLUMNS,WITHIN_CLIMATE_RANK
11,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,CAMPAIGN_ID,2019/2020,NONE,318,43,275,7,6,54,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,0421d3e0b3387f3efe549c25722da085454d15ea00ca1ce73fe46e03fd179013,580a2002eee669e172394144fd558499f235e9b2a89b8cc16201a2e84707ad32,580a2002eee669e172394144fd558499f235e9b2a89b8cc16201a2e84707ad32,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM|TMAX_ANOM_C|TMIN_ANOM_C,62,62,3
12,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,CAMPAIGN_ID,2020/2021,NONE,318,44,274,7,6,54,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,0421d3e0b3387f3efe549c25722da085454d15ea00ca1ce73fe46e03fd179013,78faf533ddf9e3037925c3ac16262c5554c32f13a00a9389c719fd3b53167eed,78faf533ddf9e3037925c3ac16262c5554c32f13a00a9389c719fd3b53167eed,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM|TMAX_ANOM_C|TMIN_ANOM_C,62,62,3
13,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,CAMPAIGN_ID,2021/2022,NONE,318,48,270,7,6,54,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,0421d3e0b3387f3efe549c25722da085454d15ea00ca1ce73fe46e03fd179013,fb2bf4a32de9feab004674301b57a1539e2ad288dba0f31c382746e26098e368,fb2bf4a32de9feab004674301b57a1539e2ad288dba0f31c382746e26098e368,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM|TMAX_ANOM_C|TMIN_ANOM_C,62,62,3
14,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,CAMPAIGN_ID,2022/2023,LEAVE_2023_OUT,318,49,269,7,6,52,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,0421d3e0b3387f3efe549c25722da085454d15ea00ca1ce73fe46e03fd179013,33c14ee35241a267299aec9635d68f2d4f204fc773d74b3626d5985947b449a4,33c14ee35241a267299aec9635d68f2d4f204fc773d74b3626d5985947b449a4,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM|TMAX_ANOM_C|TMIN_ANOM_C,60,60,3
15,MANGO,13010210000,ED1-MANGO,REFERENCE_PERIOD_ID,2016,NONE,255,31,224,8,7,36,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,7efb038fd53e1b3c9451f34fbf49bf3784a21cdc74d4fd6a047db4af4b08f315,e3e28b9d8ad620fd5c28565d302e98c164e776aa2bd7a990586163a39314445e,e3e28b9d8ad620fd5c28565d302e98c164e776aa2bd7a990586163a39314445e,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM|TMAX_ANOM_C|TMIN_ANOM_C,45,45,3
16,MANGO,13010210000,ED1-MANGO,REFERENCE_PERIOD_ID,2017,LEAVE_2017_OUT,255,30,225,8,7,36,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,7efb038fd53e1b3c9451f34fbf49bf3784a21cdc74d4fd6a047db4af4b08f315,f3de0ad09e7b3c6dfa8045b038425eb6d20b8b1513341a267a1c03c629cbcf9e,f3de0ad09e7b3c6dfa8045b038425eb6d20b8b1513341a267a1c03c629cbcf9e,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM|TMAX_ANOM_C|TMIN_ANOM_C,45,45,3
17,MANGO,13010210000,ED1-MANGO,REFERENCE_PERIOD_ID,2018,NONE,255,30,225,8,7,36,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,7efb038fd53e1b3c9451f34fbf49bf3784a21cdc74d4fd6a047db4af4b08f315,d0c5a290937b4bf2825b7b86e5571d2576d535d0ddcf416d86ae129acc012b94,d0c5a290937b4bf2825b7b86e5571d2576d535d0ddcf416d86ae129acc012b94,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM|TMAX_ANOM_C|TMIN_ANOM_C,45,45,3
18,MANGO,13010210000,ED1-MANGO,REFERENCE_PERIOD_ID,2019,NONE,255,31,224,8,7,36,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,7efb038fd53e1b3c9451f34fbf49bf3784a21cdc74d4fd6a047db4af4b08f315,cff4e269eb1e7f832ae0a36ae334db6f01b22e033d35e7258bc159de0cba26b6,cff4e269eb1e7f832ae0a36ae334db6f01b22e033d35e7258bc159de0cba26b6,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM|TMAX_ANOM_C|TMIN_ANOM_C,45,45,3
19,MANGO,13010210000,ED1-MANGO,REFERENCE_PERIOD_ID,2020,NONE,255,32,223,8,7,36,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,7efb038fd53e1b3c9451f34fbf49bf3784a21cdc74d4fd6a047db4af4b08f315,1869985a7fc0db13c2237228d556e713a042e84006b26a28f34497d6b6d42834,1869985a7fc0db13c2237228d556e713a042e84006b26a28f34497d6b6d42834,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM|TMAX_ANOM_C|TMIN_ANOM_C,45,45,3
20,MANGO,13010210000,ED1-MANGO,REFERENCE_PERIOD_ID,2021,NONE,255,34,221,8,7,36,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,7efb038fd53e1b3c9451f34fbf49bf3784a21cdc74d4fd6a047db4af4b08f315,8bda65f1ee8ce82f37cde14fa6d800cbb303bd30267b4f528903b05f00466c6c,8bda65f1ee8ce82f37cde14fa6d800cbb303bd30267b4f528903b05f00466c6c,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM|TMAX_ANOM_C|TMIN_ANOM_C,45,45,3
21,MANGO,13010210000,ED1-MANGO,REFERENCE_PERIOD_ID,2022,NONE,255,36,219,8,7,35,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,7efb038fd53e1b3c9451f34fbf49bf3784a21cdc74d4fd6a047db4af4b08f315,9e8ed66528ba225aad5f250eee503b854d80decd00503e5e29feff20e520b898,9e8ed66528ba225aad5f250eee503b854d80decd00503e5e29feff20e520b898,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM|TMAX_ANOM_C|TMIN_ANOM_C,44,44,3
22,MANGO,13010210000,ED1-MANGO,REFERENCE_PERIOD_ID,2023,LEAVE_2023_OUT,255,31,224,8,7,36,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,7efb038fd53e1b3c9451f34fbf49bf3784a21cdc74d4fd6a047db4af4b08f315,d755149e9b8b198eef9985c40bca1f26fa9e095e3fc75ab80614c097a2154cf3,d755149e9b8b198eef9985c40bca1f26fa9e095e3fc75ab80614c097a2154cf3,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM|TMAX_ANOM_C|TMIN_ANOM_C,45,45,3
23,LIMON_SUTIL,13010170102,ED1-LEMON,REFERENCE_PERIOD_ID,2016,NONE,311,37,274,8,7,44,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,33b7bd8de1439e45c3103b6fbed1896859f6d95fdc51f8538342c8e83d74573b,062d0346e5b4e1bcc5d0a0fe47c28c7094e28d5570fe4a5b1ea8e8af9d70dd12,062d0346e5b4e1bcc5d0a0fe47c28c7094e28d5570fe4a5b1ea8e8af9d70dd12,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM__T|TMAX_ANOM_C__T|TMIN_ANOM_C__T|RAIN_ANOM_MM__T_MINUS_1|TMAX_ANOM_C__T_MINUS_1|TMIN_ANOM_C__T_MINUS_1,56,56,6
24,LIMON_SUTIL,13010170102,ED1-LEMON,REFERENCE_PERIOD_ID,2017,LEAVE_2017_OUT,311,35,276,8,7,44,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,33b7bd8de1439e45c3103b6fbed1896859f6d95fdc51f8538342c8e83d74573b,963afaac69fb6a8f81b019ddb149c36758b3dcaa0fc4a91c2ecbc8e7b407ea14,963afaac69fb6a8f81b019ddb149c36758b3dcaa0fc4a91c2ecbc8e7b407ea14,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM__T|TMAX_ANOM_C__T|TMIN_ANOM_C__T|RAIN_ANOM_MM__T_MINUS_1|TMAX_ANOM_C__T_MINUS_1|TMIN_ANOM_C__T_MINUS_1,56,56,6
25,LIMON_SUTIL,13010170102,ED1-LEMON,REFERENCE_PERIOD_ID,2018,NONE,311,36,275,8,7,44,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,33b7bd8de1439e45c3103b6fbed1896859f6d95fdc51f8538342c8e83d74573b,eebe5316591dfa8ecc3e26ead0ec86e532a793b38968cfaa79c45c8fee3bcc6b,eebe5316591dfa8ecc3e26ead0ec86e532a793b38968cfaa79c45c8fee3bcc6b,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM__T|TMAX_ANOM_C__T|TMIN_ANOM_C__T|RAIN_ANOM_MM__T_MINUS_1|TMAX_ANOM_C__T_MINUS_1|TMIN_ANOM_C__T_MINUS_1,56,56,6
26,LIMON_SUTIL,13010170102,ED1-LEMON,REFERENCE_PERIOD_ID,2019,NONE,311,38,273,8,7,44,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,33b7bd8de1439e45c3103b6fbed1896859f6d95fdc51f8538342c8e83d74573b,a2e6fd3ff4eb35e5039956ff1a76bf13b3fa4f69e5478f4b58242ce238e1cfef,a2e6fd3ff4eb35e5039956ff1a76bf13b3fa4f69e5478f4b58242ce238e1cfef,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM__T|TMAX_ANOM_C__T|TMIN_ANOM_C__T|RAIN_ANOM_MM__T_MINUS_1|TMAX_ANOM_C__T_MINUS_1|TMIN_ANOM_C__T_MINUS_1,56,56,6
27,LIMON_SUTIL,13010170102,ED1-LEMON,REFERENCE_PERIOD_ID,2020,NONE,311,39,272,8,7,44,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,33b7bd8de1439e45c3103b6fbed1896859f6d95fdc51f8538342c8e83d74573b,b05b3ea7a16c2f0419bea8d38714f59c1be52ee2dc0d5948e00a7a072cc455eb,b05b3ea7a16c2f0419bea8d38714f59c1be52ee2dc0d5948e00a7a072cc455eb,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM__T|TMAX_ANOM_C__T|TMIN_ANOM_C__T|RAIN_ANOM_MM__T_MINUS_1|TMAX_ANOM_C__T_MINUS_1|TMIN_ANOM_C__T_MINUS_1,56,56,6
28,LIMON_SUTIL,13010170102,ED1-LEMON,REFERENCE_PERIOD_ID,2021,NONE,311,39,272,8,7,44,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,33b7bd8de1439e45c3103b6fbed1896859f6d95fdc51f8538342c8e83d74573b,9967b3fd9769ca611112fc9e20ae406d5b7fe90b5051331737a9d13af3380c79,9967b3fd9769ca611112fc9e20ae406d5b7fe90b5051331737a9d13af3380c79,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM__T|TMAX_ANOM_C__T|TMIN_ANOM_C__T|RAIN_ANOM_MM__T_MINUS_1|TMAX_ANOM_C__T_MINUS_1|TMIN_ANOM_C__T_MINUS_1,56,56,6
29,LIMON_SUTIL,13010170102,ED1-LEMON,REFERENCE_PERIOD_ID,2022,NONE,311,43,268,8,7,44,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,33b7bd8de1439e45c3103b6fbed1896859f6d95fdc51f8538342c8e83d74573b,39b9e3f550196d8aeae09c44f4ae302629d29184250f8216e2920df3069544fc,39b9e3f550196d8aeae09c44f4ae302629d29184250f8216e2920df3069544fc,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM__T|TMAX_ANOM_C__T|TMIN_ANOM_C__T|RAIN_ANOM_MM__T_MINUS_1|TMAX_ANOM_C__T_MINUS_1|TMIN_ANOM_C__T_MINUS_1,56,56,6
30,LIMON_SUTIL,13010170102,ED1-LEMON,REFERENCE_PERIOD_ID,2023,LEAVE_2023_OUT,311,44,267,8,7,43,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,33b7bd8de1439e45c3103b6fbed1896859f6d95fdc51f8538342c8e83d74573b,29de6a934543f4fbdf68f42080605d939916a529b508cda1849d7b3f269753c1,29de6a934543f4fbdf68f42080605d939916a529b508cda1849d7b3f269753c1,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM__T|TMAX_ANOM_C__T|TMIN_ANOM_C__T|RAIN_ANOM_MM__T_MINUS_1|TMAX_ANOM_C__T_MINUS_1|TMIN_ANOM_C__T_MINUS_1,55,55,6
31,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,REFERENCE_PERIOD_ID,2016,NONE,390,46,344,8,7,54,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,27cf0c52704bd4be3221e2fefed30a9ae08d9ed395373c50e4bff2ede837d6c2,1301bdc69c33156e975a5ad0b1877412e91fe4d4f22be966d85456da650fdd7c,1301bdc69c33156e975a5ad0b1877412e91fe4d4f22be966d85456da650fdd7c,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM__T|TMAX_ANOM_C__T|TMIN_ANOM_C__T|RAIN_ANOM_MM__T_MINUS_1|TMAX_ANOM_C__T_MINUS_1|TMIN_ANOM_C__T_MINUS_1,66,66,6
32,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,REFERENCE_PERIOD_ID,2017,LEAVE_2017_OUT,390,47,343,8,7,54,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,27cf0c52704bd4be3221e2fefed30a9ae08d9ed395373c50e4bff2ede837d6c2,6d2012a17f9245ad7a4a6a35d2d254d2323f2bf8e830a7cd2fefcc533c57f666,6d2012a17f9245ad7a4a6a35d2d254d2323f2bf8e830a7cd2fefcc533c57f666,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM__T|TMAX_ANOM_C__T|TMIN_ANOM_C__T|RAIN_ANOM_MM__T_MINUS_1|TMAX_ANOM_C__T_MINUS_1|TMIN_ANOM_C__T_MINUS_1,66,66,6
33,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,REFERENCE_PERIOD_ID,2018,NONE,390,48,342,8,7,54,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,27cf0c52704bd4be3221e2fefed30a9ae08d9ed395373c50e4bff2ede837d6c2,c8a088e72c9e76edb9d1d6082070dba366bb543515448a1cdc6b75ecf90b002b,c8a088e72c9e76edb9d1d6082070dba366bb543515448a1cdc6b75ecf90b002b,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM__T|TMAX_ANOM_C__T|TMIN_ANOM_C__T|RAIN_ANOM_MM__T_MINUS_1|TMAX_ANOM_C__T_MINUS_1|TMIN_ANOM_C__T_MINUS_1,66,66,6
34,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,REFERENCE_PERIOD_ID,2019,NONE,390,47,343,8,7,54,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,27cf0c52704bd4be3221e2fefed30a9ae08d9ed395373c50e4bff2ede837d6c2,9d733aed3499b95dcddefd48fc599708a1c4d9da16f0c9691e234be232fb094a,9d733aed3499b95dcddefd48fc599708a1c4d9da16f0c9691e234be232fb094a,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM__T|TMAX_ANOM_C__T|TMIN_ANOM_C__T|RAIN_ANOM_MM__T_MINUS_1|TMAX_ANOM_C__T_MINUS_1|TMIN_ANOM_C__T_MINUS_1,66,66,6
35,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,REFERENCE_PERIOD_ID,2020,NONE,390,49,341,8,7,54,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,27cf0c52704bd4be3221e2fefed30a9ae08d9ed395373c50e4bff2ede837d6c2,337db549b9c098090b11cb5cebe84b1f5c06f0b5be682c66b67b153878e33bc2,337db549b9c098090b11cb5cebe84b1f5c06f0b5be682c66b67b153878e33bc2,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM__T|TMAX_ANOM_C__T|TMIN_ANOM_C__T|RAIN_ANOM_MM__T_MINUS_1|TMAX_ANOM_C__T_MINUS_1|TMIN_ANOM_C__T_MINUS_1,66,66,6
36,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,REFERENCE_PERIOD_ID,2021,NONE,390,49,341,8,7,54,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,27cf0c52704bd4be3221e2fefed30a9ae08d9ed395373c50e4bff2ede837d6c2,636cd8895e63f7bc034e9e69da73631d863c3e260c3409b4d1dc3f9c605fbace,636cd8895e63f7bc034e9e69da73631d863c3e260c3409b4d1dc3f9c605fbace,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM__T|TMAX_ANOM_C__T|TMIN_ANOM_C__T|RAIN_ANOM_MM__T_MINUS_1|TMAX_ANOM_C__T_MINUS_1|TMIN_ANOM_C__T_MINUS_1,66,66,6
37,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,REFERENCE_PERIOD_ID,2022,NONE,390,51,339,8,7,53,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,27cf0c52704bd4be3221e2fefed30a9ae08d9ed395373c50e4bff2ede837d6c2,beb78c5cfc851bdb706d537a4f38f79402509c72aa80ab06252aa638570da7d0,beb78c5cfc851bdb706d537a4f38f79402509c72aa80ab06252aa638570da7d0,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM__T|TMAX_ANOM_C__T|TMIN_ANOM_C__T|RAIN_ANOM_MM__T_MINUS_1|TMAX_ANOM_C__T_MINUS_1|TMIN_ANOM_C__T_MINUS_1,65,65,6
38,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,REFERENCE_PERIOD_ID,2023,LEAVE_2023_OUT,390,53,337,8,7,51,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,27cf0c52704bd4be3221e2fefed30a9ae08d9ed395373c50e4bff2ede837d6c2,09ba57d51e45f580ad2effa9a5fc35a177eaa9005b2dee3422cc4a19dd2144a0,09ba57d51e45f580ad2effa9a5fc35a177eaa9005b2dee3422cc4a19dd2144a0,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM__T|TMAX_ANOM_C__T|TMIN_ANOM_C__T|RAIN_ANOM_MM__T_MINUS_1|TMAX_ANOM_C__T_MINUS_1|TMIN_ANOM_C__T_MINUS_1,63,63,6
